date,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,中国国债收益率10年-2年,中国GDP年增率
2024-01-02,2.2462,2.4374,2.5601,2.8422,0.3139,
2024-01-03,2.2558,2.4212,2.5531,2.8402,0.2973,
2024-01-04,2.2554,2.4089,2.5368,2.817,0.2814,
2024-01-05,2.2369,2.3903,2.5175,2.8043,0.2806,
2024-01-08,2.2558,2.408,2.5136,2.802,0.2578,
2024-01-09,2.2388,2.3905,2.4862,2.7693,0.2474,
2024-01-10,2.254,2.4062,2.4982,2.7758,0.2442,
2024-01-11,2.2398,2.4042,2.4992,2.7769,0.2594,
2024-01-12,2.2428,2.4156,2.5172,2.793,0.2744,
2024-01-15,2.2561,2.4256,2.5212,2.7856,0.2651,
2024-01-16,2.2734,2.4406,2.5252,2.7897,0.2518,
2024-01-17,2.2638,2.4003,2.5077,2.7747,0.2439,
2024-01-18,2.2581,2.3954,2.5092,2.7732,0.2511,
2024-01-19,2.2392,2.378,2.5027,2.7583,0.2635,
2024-01-22,2.2383,2.3709,2.4922,2.7224,0.2539,
2024-01-23,2.2499,2.3835,2.5042,2.7327,0.2543,
2024-01-24,2.2239,2.3713,2.5042,2.738,0.2803,
2024-01-25,2.1874,2.3314,2.4984,2.7321,0.311,
2024-01-26,2.1889,2.3441,2.4994,2.7331,0.3105,
2024-01-29,2.1467,2.3222,2.494,2.7272,0.3473,
2024-01-30,2.1166,2.2849,2.4557,2.6831,0.3391,
2024-01-31,2.1336,2.2872,2.433,2.6482,0.2994,
2024-02-01,2.1499,2.3048,2.4354,2.6472,0.2855,
2024-02-02,2.137,2.2799,2.4244,2.6353,0.2874,
2024-02-04,2.111,2.2728,2.4053,2.6076,0.2943,
2024-02-05,2.1457,2.2751,2.4002,2.5974,0.2545,
2024-02-06,2.1967,2.3329,2.4525,2.6579,0.2558,
2024-02-07,2.1563,2.2985,2.4153,2.6214,0.259,
2024-02-08,2.1496,2.2885,2.4379,2.6505,0.2883,
2024-02-09,2.1496,2.2885,2.4302,2.6505,0.2806,
2024-02-12,,,,,,
2024-02-13,,,,,,
2024-02-14,,,,,,
2024-02-15,,,,,,
2024-02-16,,,,,,
2024-02-18,2.1522,2.2972,2.4393,2.643,0.2871,
2024-02-19,2.1511,2.3058,2.4344,2.627,0.2833,
2024-02-20,2.1241,2.2759,2.4134,2.6004,0.2893,
2024-02-21,2.1133,2.2683,2.4119,2.601,0.2986,
2024-02-22,2.0703,2.2439,2.4033,2.591,0.333,
2024-02-23,2.0787,2.2495,2.4009,2.5809,0.3222,
2024-02-26,2.0663,2.2244,2.3789,2.54,0.3126,
2024-02-27,2.0913,2.2419,2.3809,2.5224,0.2896,
2024-02-28,2.0687,2.2223,2.3376,2.4868,0.2689,
2024-02-29,2.0526,2.2178,2.3375,2.4616,0.2849,
2024-03-01,2.0964,2.2632,2.3675,2.4915,0.2711,
2024-03-04,2.0862,2.2489,2.3475,2.4738,0.2613,
2024-03-05,2.0706,2.2285,2.3169,2.4794,0.2463,
2024-03-06,2.0337,2.1675,2.265,2.4274,0.2313,
2024-03-07,2.052,2.1959,2.2776,2.431,0.2256,
2024-03-08,2.0617,2.2089,2.2825,2.4335,0.2208,
2024-03-11,2.0754,2.232,2.305,2.4766,0.2296,
2024-03-12,2.1072,2.2716,2.3476,2.5415,0.2404,
2024-03-13,2.1025,2.2587,2.3326,2.5313,0.2301,
2024-03-14,2.1013,2.2595,2.3425,2.5343,0.2412,
2024-03-15,2.081,2.2428,2.32,2.5094,0.239,
2024-03-18,2.0435,2.2168,2.2926,2.4857,0.2491,
2024-03-19,2.0023,2.2074,2.2801,2.4485,0.2778,
2024-03-20,2.0031,2.2233,2.2951,2.466,0.292,
2024-03-21,1.9836,2.2036,2.2851,2.4615,0.3015,
2024-03-22,1.9791,2.2143,2.3051,2.4832,0.326,
2024-03-25,1.9596,2.2281,2.3151,2.4962,0.3555,
2024-03-26,1.9549,2.2279,2.3175,2.4982,0.3626,
2024-03-27,1.941,2.1948,2.2876,2.4636,0.3466,
2024-03-28,1.9415,2.2112,2.3026,2.4664,0.3611,
2024-03-29,1.9017,2.1974,2.2901,2.4594,0.3884,
2024-04-01,1.9129,2.2172,2.3082,2.4848,0.3953,
2024-04-02,1.8958,2.1967,2.2927,2.475,0.3969,
2024-04-03,1.8886,2.1897,2.2837,2.4635,0.3951,
2024-04-04,,,,,,
2024-04-05,,,,,,
2024-04-07,1.8886,2.1946,2.2937,2.4776,0.4051,
2024-04-08,1.863,2.169,2.2822,2.4656,0.4192,
2024-04-09,1.8562,2.1533,2.2802,2.4637,0.424,
2024-04-10,1.856,2.1591,2.2972,2.4891,0.4412,
2024-04-11,1.8538,2.1378,2.2928,2.4928,0.439,
2024-04-12,1.8465,2.1119,2.2837,2.487,0.4372,
2024-04-15,1.8688,2.1263,2.2798,2.4863,0.411,
2024-04-16,1.8785,2.1288,2.2723,2.4717,0.3938,
2024-04-17,1.8769,2.1053,2.2608,2.4556,0.3839,
2024-04-18,1.8543,2.0804,2.2537,2.4466,0.3994,
2024-04-19,1.851,2.0755,2.254,2.4411,0.403,
2024-04-22,1.8411,2.0735,2.2435,2.4341,0.4024,
2024-04-23,1.8266,2.0563,2.226,2.4211,0.3994,
2024-04-24,1.8542,2.0965,2.2727,2.4791,0.4185,
2024-04-25,1.8279,2.0668,2.2612,2.4841,0.4333,
2024-04-26,1.8937,2.1245,2.3084,2.5257,0.4147,
2024-04-28,1.8927,2.1575,2.3244,2.5493,0.4317,
2024-04-29,1.9494,2.1876,2.353,2.5833,0.4036,
2024-04-30,1.9032,2.1484,2.3028,2.5382,0.3996,
2024-05-01,,,,,,
2024-05-02,,,,,,
2024-05-03,,,,,,
2024-05-06,1.905,2.1268,2.3081,2.5587,0.4031,
2024-05-07,1.8776,2.0994,2.2896,2.5413,0.412,
2024-05-08,1.8835,2.1068,2.2955,2.55,0.412,
2024-05-09,1.8886,2.1295,2.3186,2.5726,0.43,
2024-05-10,1.8794,2.1301,2.3122,2.5826,0.4328,
2024-05-11,1.893,2.1556,2.3361,2.6126,0.4431,
2024-05-13,1.8564,2.096,2.29,2.5661,0.4336,
2024-05-14,1.847,2.086,2.2938,2.5631,0.4468,
2024-05-15,1.8364,2.0916,2.302,2.5681,0.4656,
2024-05-16,1.848,2.1035,2.3147,2.5811,0.4667,
2024-05-17,1.8324,2.0928,2.3077,2.5867,0.4753,
2024-05-20,1.8362,2.0983,2.3105,2.5917,0.4743,
2024-05-21,1.8458,2.1028,2.3141,2.5927,0.4683,
2024-05-22,1.836,2.0959,2.3123,2.57,0.4763,
2024-05-23,1.8217,2.0884,2.3063,2.5451,0.4846,
2024-05-24,1.8278,2.096,2.3134,2.5515,0.4856,
2024-05-27,1.8372,2.0961,2.3084,2.5452,0.4712,
2024-05-28,1.832,2.0871,2.2994,2.5302,0.4674,
2024-05-29,1.818,2.0848,2.2776,2.5242,0.4596,
2024-05-30,1.8104,2.0862,2.2826,2.5327,0.4722,
2024-05-31,1.7987,2.085,2.2926,2.5552,0.4939,
2024-06-03,1.7862,2.0699,2.2853,2.5473,0.4991,
2024-06-04,1.7858,2.0708,2.2854,2.5453,0.4996,
2024-06-05,1.7785,2.0573,2.2808,2.5378,0.5023,
2024-06-06,1.7759,2.0595,2.2828,2.5378,0.5069,
2024-06-07,1.7634,2.0598,2.2833,2.5303,0.5199,
2024-06-10,,,,,,
2024-06-11,1.7594,2.0555,2.2791,2.5195,0.5197,
2024-06-12,1.7688,2.0634,2.276,2.5235,0.5072,
2024-06-13,1.7841,2.0655,2.2678,2.5175,0.4837,
2024-06-14,1.7762,2.0588,2.2558,2.499,0.4796,
2024-06-17,1.7862,2.0659,2.2609,2.5057,0.4747,
2024-06-18,1.7772,2.0568,2.2537,2.4887,0.4765,
2024-06-19,1.7112,2.0236,2.2429,2.4797,0.5317,
2024-06-20,1.6964,2.0289,2.2445,2.4708,0.5481,
2024-06-21,1.6917,2.039,2.2571,2.4797,0.5654,
2024-06-24,1.7054,2.0255,2.2451,2.4607,0.5397,
2024-06-25,1.6809,2.0159,2.235,2.4477,0.5541,
2024-06-26,1.656,1.9987,2.2225,2.4442,0.5665,
2024-06-27,1.6381,1.9769,2.2081,2.4282,0.57,
2024-06-28,1.6335,1.9782,2.2058,2.4282,0.5723,
2024-07-01,1.6546,2.02,2.2486,2.4782,0.594,
2024-07-02,1.6452,1.9875,2.2369,2.4692,0.5917,
2024-07-03,1.6357,1.9589,2.2426,2.4738,0.6069,
2024-07-04,1.6385,1.9711,2.2502,2.4798,0.6117,
2024-07-05,1.6479,1.9995,2.2754,2.513,0.6275,
2024-07-08,1.6769,2.0347,2.2904,2.5205,0.6135,
2024-07-09,1.6364,2.0074,2.2698,2.5017,0.6334,
2024-07-10,1.6369,2.0131,2.2707,2.5068,0.6338,
2024-07-11,1.6353,2.0064,2.2648,2.5025,0.6295,
2024-07-12,1.6224,2.0016,2.2604,2.4921,0.638,
2024-07-15,1.6314,1.9891,2.2541,2.4772,0.6227,
2024-07-16,1.6244,1.9841,2.2613,2.4801,0.6369,
2024-07-17,1.6145,1.9579,2.2598,2.4812,0.6453,
2024-07-18,1.617,1.9607,2.2673,2.4901,0.6503,
2024-07-19,1.6081,1.9534,2.2614,2.4842,0.6533,
2024-07-22,1.5624,1.9141,2.2461,2.4712,0.6837,
2024-07-23,1.5425,1.8918,2.2322,2.4691,0.6897,
2024-07-24,1.5298,1.8972,2.2381,2.4676,0.7083,
2024-07-25,1.5142,1.8923,2.2168,2.4357,0.7026,
2024-07-26,1.5296,1.8976,2.1944,2.4226,0.6648,
2024-07-29,1.5331,1.8933,2.1574,2.39,0.6243,
2024-07-30,1.5339,1.8836,2.148,2.3765,0.6141,
2024-07-31,1.5252,1.849,2.1494,2.3825,0.6242,
2024-08-01,1.5259,1.8262,2.1297,2.3651,0.6038,
2024-08-02,1.5282,1.8188,2.1277,2.3465,0.5995,
2024-08-05,1.5185,1.8144,2.1376,2.3375,0.6191,
2024-08-06,1.5277,1.817,2.1491,2.355,0.6214,
2024-08-07,1.5228,1.7995,2.1414,2.335,0.6186,
2024-08-08,1.5466,1.8349,2.181,2.37,0.6344,
2024-08-09,1.5739,1.8706,2.1986,2.38,0.6247,
2024-08-12,1.6505,1.9358,2.2508,2.435,0.6003,
2024-08-13,1.6443,1.9011,2.2255,2.4075,0.5812,
2024-08-14,1.6517,1.8858,2.1966,2.3751,0.5449,
2024-08-15,1.6837,1.9058,2.205,2.39,0.5213,
2024-08-16,1.6719,1.8901,2.1978,2.39,0.5259,
2024-08-19,1.6717,1.8834,2.1816,2.3675,0.5099,
2024-08-20,1.6708,1.8859,2.171,2.36,0.5002,
2024-08-21,1.6548,1.8761,2.167,2.3551,0.5122,
2024-08-22,1.6297,1.8726,2.1582,2.3476,0.5285,
2024-08-23,1.576,1.8487,2.1547,2.3401,0.5787,
2024-08-26,1.5542,1.8447,2.1628,2.3475,0.6086,
2024-08-27,1.5542,1.8658,2.1903,2.3825,0.6361,
2024-08-28,1.5364,1.8552,2.1673,2.355,0.6309,
2024-08-29,1.525,1.8671,2.1703,2.365,0.6453,
2024-08-30,1.5197,1.8522,2.1704,2.3651,0.6507,
2024-09-02,1.4853,1.8085,2.1457,2.3425,0.6604,
2024-09-03,1.4526,1.7853,2.1432,2.339,0.6906,
2024-09-04,1.4595,1.775,2.1336,2.3225,0.6741,
2024-09-05,1.4517,1.7761,2.1338,2.3125,0.6821,
2024-09-06,1.4425,1.779,2.1388,2.309,0.6963,
2024-09-09,1.4234,1.77,2.1267,2.29,0.7033,
2024-09-10,1.3868,1.7497,2.1143,2.267,0.7275,
2024-09-11,1.3325,1.7175,2.1044,2.263,0.7719,
2024-09-12,1.347,1.7232,2.0998,2.2471,0.7528,
2024-09-13,1.35,1.7205,2.0724,2.2176,0.7224,
2024-09-14,1.334,1.7009,2.0425,2.183,0.7085,
2024-09-16,,,,,,
2024-09-17,,,,,,
2024-09-18,1.359,1.7217,2.0403,2.165,0.6813,
