,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯,沪深300指数,中证500指数
工商银行,1.0,0.7952784013469774,0.7619191040915771,0.6424505194229103,0.5870932744922336,0.5087904339014443,0.259906412496225,-0.01845545203339615,0.2636190910212638,0.021266558792374175,-0.020061071283170247,0.18945153103745804,0.12683566259935838,0.13392714715410606,0.11400704217504264,-0.09828254560201317,-0.16660238650253528,-0.05822884341814507,-0.026673231883037912,-0.03181891951686024,-0.04033984940065197,-0.10577530571467432,0.37864327247937085,0.3049933975869674,-0.14805913246988436,-0.0937173082985737,-0.10448635636697676,0.23446843231192935,0.2643434743376067,-0.19407748278615844,0.0218167151674937,-0.17602175465233152
建设银行,0.7952784013469774,1.0,0.6993226004848114,0.5498117296539247,0.5467102922874983,0.46499627782409264,0.17300764199396748,-0.09394361137999051,0.19836743132802928,0.012324094647454164,-0.044152289490013236,0.1011710720486026,0.06058385529807772,0.061811888191610154,0.024523270088057523,-0.09568221803067785,-0.16585115472216108,-0.11551847260988987,-0.1270099906194588,-0.11230777249442545,-0.08164212707695015,-0.164742237990592,0.3497253476160166,0.28043016949190147,-0.09713417767097429,-0.09206525080324111,-0.12437857548176184,0.21944205467528638,0.33123343010346673,-0.13393235533280975,-0.011710496436730064,-0.20251295391270327
农业银行,0.7619191040915771,0.6993226004848114,1.0,0.4938900713401508,0.5038023014212644,0.4434575838724707,0.21916700969114047,0.0381667653530914,0.3102315039565195,-0.0414480473453532,-0.007878473310231927,0.16540481979078808,0.08798645212427185,0.08619198515938542,0.14083583548333645,-0.0343205851493589,-0.12834394070616298,-0.00484503235337376,-0.007965739501763366,-0.031248995567647483,-0.02001202304857444,-0.109789520892951,0.3735945922954661,0.2896296327989977,-0.08771864828600381,-0.12128048198435899,-0.08436072558791881,0.24773675837153672,0.22016155337670051,-0.1117243922050604,0.0432123435606558,-0.14472252309252895
招商银行,0.6424505194229103,0.5498117296539247,0.4938900713401508,1.0,0.7117636055652756,0.603402946475668,0.43176131775719057,0.208646389917316,0.388781435134865,0.08293806171966031,0.08310314434225999,0.37916816159086497,0.30430171489124297,0.24217935818546715,0.20903139258027503,-0.07768263312274828,-0.02087485672926477,0.07751322355424457,0.15315259830471442,0.18594974101604586,0.07677815920287837,0.0398336324136565,0.4157782873869783,0.3054426479592975,0.0702102039060624,0.13691302495922042,0.026163236069752807,0.321722598905247,0.15974195090529314,-0.05552828923833738,0.252205657359314,0.028692436663510772
兴业银行,0.5870932744922336,0.5467102922874983,0.5038023014212644,0.7117636055652756,1.0,0.6384792048361232,0.4301144964227885,0.22200394732891426,0.39445904702175855,0.12388612857653006,0.143120065620502,0.34089678481794466,0.25730533954972334,0.23360384222058345,0.19884768819308385,-0.011137936347583177,-0.07753606068714573,0.12053804885012345,0.10771179753994614,0.20258754566305087,0.07022281404181341,0.019729241764446917,0.35231622634250165,0.2683298264391803,0.027545457551712615,0.06303353416471728,0.0758882393069868,0.32253497317019536,0.20828833872259392,-0.02281098470598818,0.2438833462033819,0.04776215631663805
平安银行,0.5087904339014443,0.46499627782409264,0.4434575838724707,0.603402946475668,0.6384792048361232,1.0,0.5058791435674846,0.27282360655084015,0.43821588134148254,0.24791233590622855,0.26645282684209587,0.3136791581665274,0.3466498467794085,0.3020186630612864,0.21955769022786006,0.11070260995080078,0.05426965452663683,0.18001875186762414,0.18063963084448154,0.11031497558478791,0.14751157093107767,0.03705169206934145,0.38604890171791106,0.25967344164585965,0.15209468321116362,0.057768768082281076,0.10724693987178646,0.2915077092661736,0.2312437307007489,0.04052643594012405,0.3312390101464249,0.14979915492834625
中国平安,0.259906412496225,0.17300764199396748,0.21916700969114047,0.43176131775719057,0.4301144964227885,0.5058791435674846,1.0,0.6683633375816869,0.7857039809008735,0.3414123289003362,0.3737180876223485,0.5457374372348092,0.5345613175692966,0.3849810191635266,0.444290992293788,0.24181388141316865,0.26637895949218454,0.3528480127755608,0.392928945614248,0.35327203685317543,0.30189689898223954,0.20138419722346454,0.21893073898839846,0.1626362098089836,0.21605120573073014,0.21299831269879343,0.2090163225428647,0.3918431336794354,0.11703097980533501,0.1203421986604767,0.5858631910296329,0.4192717566719227
中信证券,-0.01845545203339615,-0.09394361137999051,0.0381667653530914,0.208646389917316,0.22200394732891426,0.27282360655084015,0.6683633375816869,1.0,0.6669669645337437,0.4140314392794912,0.453662444022818,0.46491780459966237,0.4583131052015479,0.31019141990561955,0.41185705763426333,0.24281641734700007,0.37602955202390054,0.39172455028456404,0.4670568090424808,0.47907567515744015,0.48164575193327874,0.3947445768751315,0.09134654182372426,0.05383029086734268,0.3113227719004212,0.3252464925878026,0.34635994924414787,0.22906105391501938,0.02298416538728548,0.4502560944928252,0.775394530529144,0.7375061545027899
中国人寿,0.2636190910212638,0.19836743132802928,0.3102315039565195,0.388781435134865,0.39445904702175855,0.43821588134148254,0.7857039809008735,0.6669669645337437,1.0,0.3140714327976549,0.38611431483331643,0.5354924176411698,0.5128585947560231,0.4011774246505651,0.47591222831132785,0.2331430655410619,0.24396199904529817,0.3505268420468781,0.3903365673547642,0.3708819330071623,0.3301213752897247,0.21273929139788697,0.27977917497326765,0.2392005636310258,0.20366405258284717,0.18991857239203305,0.20839283176492565,0.35982960027797983,0.1479668046411173,0.2333386698831319,0.5989750452483533,0.44616372870600746
万科A,0.021266558792374175,0.012324094647454164,-0.0414480473453532,0.08293806171966031,0.12388612857653006,0.24791233590622855,0.3414123289003362,0.4140314392794912,0.3140714327976549,1.0,0.785605232225613,0.37929637245470105,0.44538800194997713,0.28383331528165956,0.36963920985765325,0.1976458787030865,0.21785958348485662,0.27861733778361925,0.24833442492028523,0.26328901010743233,0.21129445797676477,0.18226459065609654,0.07051359357262729,0.08112566745741548,0.1353011948959449,0.32597338346839294,0.4128570497129711,0.18486815360577868,0.09923358064087805,0.1413391115639966,0.4187049038280997,0.4177255111918219
