,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯,沪深300指数,中证500指数
工商银行,1.0,0.8717916448734337,0.8462572671188696,0.5352810590986423,0.5355254320317437,0.47424662602483253,0.3182392022599386,0.07277645889599549,0.3014854878211124,0.05213085896920523,0.08652904763908827,0.15834602701787234,0.09919062954502732,0.15738744922246156,0.06074056343248668,-0.025371074036822098,-0.16516618319408205,-0.013665743781698301,-0.02159657263158404,-0.038608181399528284,0.007703210495666592,-0.08443039380934292,0.43089650965782955,0.43423143323408564,0.054146269375753314,0.02587071241181553,-0.056873348688802665,0.20166313570965927,0.3647055178822025,-0.08071912304790779,0.15601525161452107,-0.07456892545124423
建设银行,0.8717916448734337,1.0,0.8116519624762988,0.5111506727022505,0.5191961493940926,0.45393182457690084,0.2796958976692723,0.058654894198408795,0.29139652488918594,0.05083433933649863,0.07959090216877221,0.11243811035001378,0.08898772147800273,0.13290541394831196,0.03487076019800852,-0.025170691024035238,-0.15511355283334133,-0.03450471827200308,-0.058026584934088,-0.05406276420419345,0.024826034408857618,-0.07967872921787757,0.44620949322588666,0.43772752907285783,0.07313216601504596,0.04803708172519936,-0.054369081507646376,0.21224559561815,0.38157411568057126,-0.026036374993148186,0.16292842702042287,-0.04632447113329745
农业银行,0.8462572671188696,0.8116519624762988,1.0,0.4443672975811983,0.47531384656413334,0.40419907280410045,0.2632091898100045,0.050683350237775066,0.2910706235670884,-0.010688814635480217,0.03966997345722953,0.09813588010374816,0.04073777052317671,0.08668218015688099,0.03417638535010105,-0.03412260129008772,-0.16448836889421484,-0.040627996880981176,-0.051146431453260546,-0.06355071974220508,-0.025311456435518687,-0.10767435035514558,0.44512275382094735,0.41923975287214005,0.07624566870964206,0.0005911741973500382,-0.0755745159107108,0.187931599844876,0.3186362972336644,-0.051582833168504726,0.1248827640721612,-0.0772525252605304
招商银行,0.5352810590986423,0.5111506727022505,0.4443672975811983,1.0,0.7205935984851891,0.7796127864083205,0.6621393540803887,0.39344508332580785,0.5649130649070745,0.3891423644899622,0.3890671896110879,0.49330297309389115,0.4845738234259354,0.44161952239080554,0.43384161035078006,0.16916005533883735,0.14999218447738394,0.23696026166744064,0.32681526918889786,0.30922544719260403,0.28841316744808665,0.16881712119242068,0.3906563087996356,0.3036984657972631,0.2408791895966762,0.3873742934653661,0.3284499232622436,0.4032391091804921,0.19530602300789052,0.11543891940752632,0.5618607355224339,0.3028072439386429
兴业银行,0.5355254320317437,0.5191961493940926,0.47531384656413334,0.7205935984851891,1.0,0.7056539525388402,0.5742326324709409,0.3192768503418247,0.49978124905476295,0.35726222355478265,0.35942395218684176,0.40376339267794703,0.3609414842315645,0.35156999083410273,0.35769201423059915,0.12951270964865916,0.07505060352615292,0.1928051123137178,0.2587605000374291,0.2628699739585656,0.25802592166612026,0.13980664908146118,0.36061139626302324,0.31252953875476436,0.17591666037317283,0.2775631874325947,0.2670918232110706,0.37267444210330025,0.2436278415889757,0.1376047061800758,0.47333042914798434,0.24286518823247358
平安银行,0.47424662602483253,0.45393182457690084,0.40419907280410045,0.7796127864083205,0.7056539525388402,1.0,0.7329587539786173,0.4671990597690572,0.6309840312107597,0.5036832731198003,0.4953815738539528,0.4921172945868318,0.5369860075152827,0.48258536719124545,0.47171899048736965,0.2507787190194427,0.20858330314920495,0.3132904712046129,0.35172260542901473,0.2833478783294627,0.3257599620310101,0.1779751047017638,0.3855294885326163,0.30174176025604565,0.27237434638295716,0.40633101979350184,0.40759773435421415,0.41393949428188687,0.21839882565592098,0.19897932781749322,0.6353280092461809,0.4174079414476542
中国平安,0.3182392022599386,0.2796958976692723,0.2632091898100045,0.6621393540803887,0.5742326324709409,0.7329587539786173,1.0,0.6176689984237796,0.8030746039797537,0.5153498216437747,0.48290162154280714,0.5677208996758424,0.5850435175428707,0.5136510066747348,0.5617403686449559,0.3265656353756458,0.304194921931838,0.41138765500771785,0.4552787055597473,0.44615995844542855,0.4285175990730015,0.2449583620794801,0.3041196004033286,0.22476871627958325,0.3026768731923755,0.428802896443415,0.46366783910980913,0.42316859419981395,0.21018594720020445,0.2488920354155997,0.7257230556033586,0.5272524528173324
中信证券,0.07277645889599549,0.058654894198408795,0.050683350237775066,0.39344508332580785,0.3192768503418247,0.4671990597690572,0.6176689984237796,1.0,0.57432500889168,0.49776640202254424,0.4477609044904488,0.48277240292942125,0.501354143971166,0.45802044543145576,0.5194817915742682,0.3344163974336534,0.4003289320943036,0.4109202670326417,0.44080892343374045,0.41774044676664407,0.44775531951734826,0.33638243237318377,0.1543637732955064,0.035796981847115876,0.23271689508216073,0.3752077756725445,0.5037147299488484,0.26794691368733276,0.06657472805395485,0.3841240592495619,0.735986060906677,0.6678859113509448
中国人寿,0.3014854878211124,0.29139652488918594,0.2910706235670884,0.5649130649070745,0.49978124905476295,0.6309840312107597,0.8030746039797537,0.57432500889168,1.0,0.43812046123456533,0.4198518104066044,0.47638339048900386,0.4858473803483545,0.42155107458545166,0.5030180370978736,0.3305614473510678,0.25658616833944015,0.38324288209467505,0.4202720602315699,0.3784088065835915,0.39792896821095214,0.22733076986102985,0.2854444106620341,0.21725222314442227,0.24767611200120412,0.3720189947245219,0.3936072575016597,0.3810910165035508,0.24127362039101646,0.2974515631946426,0.6589814455554992,0.4816645851700348
万科A,0.05213085896920523,0.05083433933649863,-0.010688814635480217,0.3891423644899622,0.35726222355478265,0.5036832731198003,0.5153498216437747,0.49776640202254424,0.43812046123456533,1.0,0.8373204895113392,0.4383807083890792,0.5111821057401135,0.4219778190236766,0.47201310115551454,0.2660594358975745,0.2786453851133263,0.3440451711434104,0.3602935382095297,0.33111802042474475,0.32816669535650983,0.22681122304276266,0.1049969628707584,0.02859847958778499,0.16356816779494013,0.3982876451401531,0.5453045581601044,0.2564170446060584,0.03127608937492827,0.22830113487515838,0.5616733706400984,0.5179971762754474
保利发展,0.08652904763908827,0.07959090216877221,0.03966997345722953,0.3890671896110879,0.35942395218684176,0.4953815738539528,0.48290162154280714,0.4477609044904488,0.4198518104066044,0.8373204895113392,1.0,0.4245187169129077,0.4933727877079118,0.44779447295751224,0.46653426991834324,0.24553336160918773,0.19185657712804635,0.28933117999216496,0.3067732959016877,0.2804932268666547,0.31315168637403945,0.1515496842742048,0.1294622913853336,0.08202179457883228,0.20296183622619854,0.3707536356682926,0.5014879367566698,0.25088334526517503,0.0379816857576044,0.19095244938238604,0.5162303157550847,0.4511040232587731
贵州茅台,0.15834602701787234,0.11243811035001378,0.09813588010374816,0.49330297309389115,0.40376339267794703,0.4921172945868318,0.5677208996758424,0.48277240292942125,0.47638339048900386,0.4383807083890792,0.4245187169129077,1.0,0.8388640915297406,0.6581452053035565,0.638440562506862,0.36445164315639345,0.28434174637535203,0.4501001370313509,0.48014117805462214,0.4455600918288814,0.3678269869269818,0.24558948686332527,0.18804559267905946,0.17018035483917968,0.20708144710850881,0.3835459314580102,0.5436798802636843,0.3609633760990675,0.11248224405083623,0.18587399941511146,0.6495255675817039,0.44144086687557477
五粮液,0.09919062954502732,0.08898772147800273,0.04073777052317671,0.4845738234259354,0.3609414842315645,0.5369860075152827,0.5850435175428707,0.501354143971166,0.4858473803483545,0.5111821057401135,0.4933727877079118,0.8388640915297406,1.0,0.6594087657098957,0.6919295951142551,0.3904666880535615,0.331984775684859,0.47516336652394486,0.4741983299840423,0.4231875779480246,0.4115380693447145,0.27106365601611,0.16583256996561882,0.14038415239460938,0.2517493268199717,0.4308471465599912,0.6033825118386219,0.36018305821925384,0.08527296063549375,0.21994088095072625,0.6940181561867276,0.5270916639771618
伊利股份,0.15738744922246156,0.13290541394831196,0.08668218015688099,0.44161952239080554,0.35156999083410273,0.48258536719124545,0.5136510066747348,0.45802044543145576,0.42155107458545166,0.4219778190236766,0.44779447295751224,0.6581452053035565,0.6594087657098957,1.0,0.6168971332504243,0.3365937471096702,0.22451255534610473,0.4241017243271694,0.3593255014891284,0.3261390774199431,0.35227613158021964,0.23353613910344515,0.2284178931408974,0.23949821096352633,0.213523445298445,0.3521968850817504,0.5157315158150486,0.3562920463918854,0.1583142870508961,0.17262292153785536,0.605372857951774,0.44998418296425446
海天味业,0.06074056343248668,0.03487076019800852,0.03417638535010105,0.43384161035078006,0.35769201423059915,0.47171899048736965,0.5617403686449559,0.5194817915742682,0.5030180370978736,0.47201310115551454,0.46653426991834324,0.638440562506862,0.6919295951142551,0.6168971332504243,1.0,0.39495050780301855,0.3533029614095647,0.5018320026182015,0.4599607599331003,0.44852128188938567,0.4322608146104723,0.2701876167619914,0.16123165211923035,0.1246278805951946,0.20342308931100575,0.397115519345176,0.6138964518307015,0.34026705315459344,0.09714459982566392,0.2494451905084039,0.6630116213897709,0.5230642428776798
恒瑞医药,-0.025371074036822098,-0.025170691024035238,-0.03412260129008772,0.16916005533883735,0.12951270964865916,0.2507787190194427,0.3265656353756458,0.3344163974336534,0.3305614473510678,0.2660594358975745,0.24553336160918773,0.36445164315639345,0.3904666880535615,0.3365937471096702,0.39495050780301855,1.0,0.501426459648897,0.5062337634418096,0.4309854819780333,0.340674155692755,0.32388158602055384,0.24830379762396626,0.07411064704194952,0.0013948501162184376,0.1683210539485417,0.2677266352724238,0.37652248015304435,0.19888620507297206,0.02734612738456903,0.26236629555435587,0.5068164806576001,0.46645107349595966
药明康德,-0.16516618319408205,-0.15511355283334133,-0.16448836889421484,0.14999218447738394,0.07505060352615292,0.20858330314920495,0.304194921931838,0.4003289320943036,0.25658616833944015,0.2786453851133263,0.19185657712804635,0.28434174637535203,0.331984775684859,0.22451255534610473,0.3533029614095647,0.501426459648897,1.0,0.39925991784302817,0.4936028373565324,0.4076369329809046,0.3609028404690855,0.3645342993913878,-0.018293433087053113,-0.1314214346321689,0.17876314814388594,0.26193058075817716,0.3904637268910306,0.12870299427621826,-0.04445993327164512,0.32602944993027894,0.5311731396848308,0.5577847452821788
迈瑞医疗,-0.013665743781698301,-0.03450471827200308,-0.040627996880981176,0.23696026166744064,0.1928051123137178,0.3132904712046129,0.41138765500771785,0.4109202670326417,0.38324288209467505,0.3440451711434104,0.28933117999216496,0.4501001370313509,0.47516336652394486,0.4241017243271694,0.5018320026182015,0.5062337634418096,0.39925991784302817,1.0,0.4353567189445135,0.38133500117184665,0.3626207095061116,0.34836253344800167,0.09035447871124867,0.06022426805810672,0.19263883075167382,0.24595404811559982,0.4010342012923331,0.27222848682054784,0.04109403399073745,0.2775203009250877,0.5588499820476975,0.5028254558267982
宁德时代,-0.02159657263158404,-0.058026584934088,-0.051146431453260546,0.32681526918889786,0.2587605000374291,0.35172260542901473,0.4552787055597473,0.44080892343374045,0.4202720602315699,0.3602935382095297,0.3067732959016877,0.48014117805462214,0.4741983299840423,0.3593255014891284,0.4599607599331003,0.4309854819780333,0.4936028373565324,0.4353567189445135,1.0,0.6144869581477778,0.3908139968384448,0.38523821982139084,0.08945048844327004,0.01162391222167616,0.24482609645620534,0.38446008048681585,0.46013391535033565,0.23823661431528195,0.0115717425800749,0.2609318183299177,0.6694654905645167,0.5532336939969061
比亚迪,-0.038608181399528284,-0.05406276420419345,-0.06355071974220508,0.30922544719260403,0.2628699739585656,0.2833478783294627,0.44615995844542855,0.41774044676664407,0.3784088065835915,0.33111802042474475,0.2804932268666547,0.4455600918288814,0.4231875779480246,0.3261390774199431,0.44852128188938567,0.340674155692755,0.4076369329809046,0.38133500117184665,0.6144869581477778,1.0,0.4118385022790425,0.38249881051102813,0.09723877541982326,0.028564360968506165,0.24882866543285154,0.345980297258583,0.42179884809751295,0.2669945889254379,0.0038278593288424397,0.2957831178727848,0.6064911083838346,0.544700256685094
海康威视,0.007703210495666592,0.024826034408857618,-0.025311456435518687,0.28841316744808665,0.25802592166612026,0.3257599620310101,0.4285175990730015,0.44775531951734826,0.39792896821095214,0.32816669535650983,0.31315168637403945,0.3678269869269818,0.4115380693447145,0.35227613158021964,0.4322608146104723,0.32388158602055384,0.3609028404690855,0.3626207095061116,0.3908139968384448,0.4118385022790425,1.0,0.41067761528783403,0.10085584769897415,0.06841766014948832,0.27756003542382457,0.3631585860668437,0.43076265582342044,0.24645585609081158,0.15020816304981244,0.4976592696013269,0.6346712544081834,0.5993734477725499
立讯精密,-0.08443039380934292,-0.07967872921787757,-0.10767435035514558,0.16881712119242068,0.13980664908146118,0.1779751047017638,0.2449583620794801,0.33638243237318377,0.22733076986102985,0.22681122304276266,0.1515496842742048,0.24558948686332527,0.27106365601611,0.23353613910344515,0.2701876167619914,0.24830379762396626,0.3645342993913878,0.34836253344800167,0.38523821982139084,0.38249881051102813,0.41067761528783403,1.0,0.04368486145006461,-0.04593009431939615,0.21865319453508417,0.27547454381781034,0.24495970879239118,0.18338611741533115,-0.030764416451001163,0.42264503383293583,0.5240282304834539,0.5279256248946462
中国石油,0.43089650965782955,0.44620949322588666,0.44512275382094735,0.3906563087996356,0.36061139626302324,0.3855294885326163,0.3041196004033286,0.1543637732955064,0.2854444106620341,0.1049969628707584,0.1294622913853336,0.18804559267905946,0.16583256996561882,0.2284178931408974,0.16123165211923035,0.07411064704194952,-0.018293433087053113,0.09035447871124867,0.08945048844327004,0.09723877541982326,0.10085584769897415,0.04368486145006461,1.0,0.6042699508114262,0.3928482710864504,0.19909745376056245,0.11459911415174302,0.3019258470448094,0.41271839347549544,0.10269448655823696,0.33006479880663164,0.19137825444877649
中国神华,0.43423143323408564,0.43772752907285783,0.41923975287214005,0.3036984657972631,0.31252953875476436,0.30174176025604565,0.22476871627958325,0.035796981847115876,0.21725222314442227,0.02859847958778499,0.08202179457883228,0.17018035483917968,0.14038415239460938,0.23949821096352633,0.1246278805951946,0.0013948501162184376,-0.1314214346321689,0.06022426805810672,0.01162391222167616,0.028564360968506165,0.06841766014948832,-0.04593009431939615,0.6042699508114262,1.0,0.2930312722912989,0.1826646993024171,0.0492655425386257,0.2842234197555945,0.33363433249378005,-0.021487265764407546,0.2116301885482931,0.045366053443024
紫金矿业,0.054146269375753314,0.07313216601504596,0.07624566870964206,0.2408791895966762,0.17591666037317283,0.27237434638295716,0.3026768731923755,0.23271689508216073,0.24767611200120412,0.16356816779494013,0.20296183622619854,0.20708144710850881,0.2517493268199717,0.213523445298445,0.20342308931100575,0.1683210539485417,0.17876314814388594,0.19263883075167382,0.24482609645620534,0.24882866543285154,0.27756003542382457,0.21865319453508417,0.3928482710864504,0.2930312722912989,1.0,0.3531644104914206,0.24765441024473667,0.28721909974730137,0.12960009839706155,0.20457175765348268,0.4719533138350693,0.3944355508284553
三一重工,0.02587071241181553,0.04803708172519936,0.0005911741973500382,0.3873742934653661,0.2775631874325947,0.40633101979350184,0.428802896443415,0.3752077756725445,0.3720189947245219,0.3982876451401531,0.3707536356682926,0.3835459314580102,0.4308471465599912,0.3521968850817504,0.397115519345176,0.2677266352724238,0.26193058075817716,0.24595404811559982,0.38446008048681585,0.345980297258583,0.3631585860668437,0.27547454381781034,0.19909745376056245,0.1826646993024171,0.3531644104914206,1.0,0.4164125521368607,0.37999495187147875,0.13857759261677818,0.26839938058063767,0.5885552304495991,0.5108043185652685
