,degree,betweenness,closeness,eigenvector
工商银行,0.10344827586206896,0.3522167487684729,0.1895424836601307,0.01229248021919986
建设银行,0.06896551724137931,0.24630541871921183,0.1676300578034682,0.005297551610100316
农业银行,0.034482758620689655,0.0,0.16022099447513813,0.00445167290918272
招商银行,0.06896551724137931,0.41379310344827586,0.23577235772357724,0.05452810886038026
兴业银行,0.06896551724137931,0.3793103448275862,0.2116788321167883,0.02419574052041403
平安银行,0.06896551724137931,0.4433497536945813,0.26126126126126126,0.12639839324551846
中国平安,0.13793103448275862,0.5911330049261084,0.2871287128712871,0.2945606014706233
中信证券,0.034482758620689655,0.0,0.20863309352517986,0.19906896817048186
中国人寿,0.034482758620689655,0.0,0.2248062015503876,0.10665432563428716
万科A,0.06896551724137931,0.06896551724137931,0.2116788321167883,0.22910375305336397
保利发展,0.034482758620689655,0.0,0.17575757575757575,0.08295235657652776
贵州茅台,0.034482758620689655,0.0,0.19205298013245034,0.08133337539749112
五粮液,0.10344827586206896,0.1354679802955665,0.23577235772357724,0.22463013327750211
伊利股份,0.034482758620689655,0.0,0.19205298013245034,0.08133337539749112
海天味业,0.13793103448275862,0.6724137931034483,0.29292929292929293,0.4577272320022964
恒瑞医药,0.034482758620689655,0.0,0.20863309352517986,0.19906896817048186
药明康德,0.034482758620689655,0.0,0.20863309352517986,0.19906896817048186
迈瑞医疗,0.06896551724137931,0.1330049261083744,0.23577235772357724,0.19518116989393192
宁德时代,0.06896551724137931,0.06896551724137931,0.19463087248322147,0.08133337539987241
比亚迪,0.034482758620689655,0.0,0.1638418079096045,0.0294489633869379
海康威视,0.06896551724137931,0.1330049261083744,0.21481481481481482,0.23444036562512094
立讯精密,0.034482758620689655,0.0,0.15343915343915343,0.03537139745463908
中国石油,0.10344827586206896,0.1354679802955665,0.1324200913242009,0.0011475286486046187
中国神华,0.034482758620689655,0.0,0.11740890688259109,0.0004159523041185905
紫金矿业,0.034482758620689655,0.0,0.11740890688259109,0.0004159523041185905
三一重工,0.06896551724137931,0.06896551724137931,0.2283464566929134,0.12274682637034953
中国中免,0.20689655172413793,0.4729064039408867,0.26126126126126126,0.549801947761256
美的集团,0.034482758620689655,0.0,0.1870967741935484,0.0444442926595734
中国移动,0.06896551724137931,0.19211822660098524,0.14871794871794872,0.0023347267590935607
中兴通讯,0.06896551724137931,0.06896551724137931,0.18012422360248448,0.0976915435341254
