,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),63.9,20.48,3.1207,-9.9,-2.4202,6.4545,0.4124,9.5519,176.0
均值方差(MV),46.79,18.76,2.4943,-6.37,-2.4472,7.3505,-0.0288,2.9494,176.0
风险平价(RP),55.14,18.17,3.0341,-8.32,-2.2249,6.6282,0.3479,9.5554,176.0
层次化RP(HRP),53.99,17.64,3.06,-7.88,-2.132,6.8543,0.4731,9.5725,176.0
BL无观点,54.26,18.23,2.9756,-7.9,-2.211,6.8709,0.4856,9.5542,176.0
BL动量观点,43.84,22.74,1.9278,-8.35,-2.9003,5.2487,0.3979,9.8857,176.0
反中心性(规则1),64.65,20.34,3.1785,-10.05,-2.4173,6.4312,0.338,9.5371,176.0
直接中心性(规则2),57.57,22.6,2.5473,-9.19,-2.5719,6.2666,0.7721,7.9102,176.0
PageRank(规则3),62.85,21.18,2.9674,-10.27,-2.4761,6.1184,0.583,9.4266,176.0
网络正则化RP,56.0,18.33,3.0548,-8.2,-2.2629,6.8305,0.2131,9.2036,176.0
★网络增强BL,49.33,17.4,2.8347,-8.63,-2.0817,5.7146,0.0155,8.0876,176.0
★去噪风险平价,54.15,17.93,3.0191,-8.1,-2.1988,6.6867,0.38,9.4024,176.0
★社区BL-RP,56.0,18.76,2.9846,-8.36,-2.3108,6.6987,0.308,9.1687,176.0
◆最小方差,50.71,16.3,3.1117,-7.03,-2.0271,7.2168,0.4149,7.106,176.0
◆最大分散化,64.44,19.57,3.2933,-8.26,-2.2813,7.8047,0.1223,5.8721,176.0
◆拉普拉斯MV,44.97,18.52,2.4278,-6.48,-2.4316,6.9383,-0.0386,3.1095,176.0
◆图过滤RP,58.46,18.89,3.0947,-8.75,-2.2884,6.6835,0.3379,9.809,176.0
◆图平滑动量BL,42.76,22.72,1.8824,-8.69,-2.8125,4.9226,0.3606,10.9596,176.0
◆网络约束MinVar,51.33,16.49,3.1131,-7.27,-2.0406,7.059,0.3979,7.2783,176.0
◆社区MinVar,53.3,17.04,3.1273,-7.02,-2.0299,7.5902,0.478,7.6376,176.0
