,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),0.0,13.35,0.0003,-12.63,-1.7904,0.0003,0.0948,1.1924,203.0
均值方差(MV),7.16,15.48,0.4625,-16.51,-2.069,0.4335,-0.1929,0.561,203.0
风险平价(RP),6.12,11.47,0.5337,-10.64,-1.483,0.5754,-0.0333,1.3706,203.0
层次化RP(HRP),8.62,10.9,0.7908,-10.16,-1.4227,0.8486,-0.1442,1.1927,203.0
BL无观点,8.05,11.04,0.7286,-10.1,-1.436,0.7968,-0.04,1.3205,203.0
BL动量观点,8.0,15.85,0.5043,-15.54,-2.2605,0.5146,-0.2187,1.001,203.0
反中心性(规则1),-1.58,13.49,-0.1169,-12.89,-1.8319,-0.1223,0.0745,1.2101,203.0
直接中心性(规则2),6.51,14.81,0.4393,-11.91,-1.7382,0.5464,0.4307,1.1665,203.0
PageRank(规则3),1.05,13.57,0.0772,-12.47,-1.7481,0.0841,0.1881,1.1753,203.0
网络正则化RP,5.85,11.95,0.4898,-11.77,-1.5772,0.4971,-0.0229,1.2159,203.0
★网络增强BL,9.26,12.4,0.7468,-11.55,-1.6975,0.8018,-0.0892,1.3176,203.0
★去噪风险平价,7.19,11.31,0.6356,-10.42,-1.465,0.69,-0.0488,1.4045,203.0
★社区BL-RP,6.1,12.34,0.4947,-11.97,-1.6268,0.51,0.0129,1.2404,203.0
◆最小方差,13.16,10.16,1.2952,-8.91,-1.2876,1.4776,-0.1143,2.0139,203.0
◆最大分散化,5.28,13.78,0.3831,-9.74,-1.9122,0.5418,-0.2029,0.8387,203.0
◆拉普拉斯MV,6.18,15.25,0.4051,-16.91,-2.0848,0.3653,-0.2203,0.5083,203.0
◆图过滤RP,4.24,11.9,0.3565,-11.37,-1.5758,0.3732,-0.0116,1.313,203.0
◆图平滑动量BL,6.58,15.58,0.4221,-14.39,-2.1131,0.457,-0.236,0.9361,203.0
◆网络约束MinVar,12.31,10.21,1.2049,-9.02,-1.3126,1.3645,-0.1358,1.9278,203.0
◆社区MinVar,9.96,10.61,0.9388,-10.24,-1.3905,0.9722,-0.1448,1.0737,203.0
