,degree,betweenness,closeness,eigenvector
工商银行,0.20689655172413793,0.060051032711131234,0.46774193548387094,0.2163411956438468
建设银行,0.3448275862068966,0.25051100377455054,0.5,0.2707509381001359
农业银行,0.1724137931034483,0.024577536584925744,0.43283582089552236,0.1596935284835435
招商银行,0.4482758620689655,0.3142698844669287,0.5918367346938775,0.40938581115357997
兴业银行,0.13793103448275862,0.004653679653679655,0.4461538461538462,0.18520703375105624
平安银行,0.48275862068965514,0.3272592350178557,0.6041666666666666,0.4132412826111321
中国平安,0.24137931034482757,0.013875205254515598,0.4264705882352941,0.22680477968089635
中信证券,0.1724137931034483,0.0038587848932676526,0.4142857142857143,0.19677859261886102
中国人寿,0.13793103448275862,0.0008210180623973727,0.3972602739726027,0.13612462721470248
万科A,0.1724137931034483,0.0038587848932676518,0.4142857142857143,0.19333813265748656
保利发展,0.13793103448275862,0.001231527093596059,0.4142857142857143,0.17772918958637401
贵州茅台,0.20689655172413793,0.07731574665072201,0.46774193548387094,0.1767750244366605
五粮液,0.3103448275862069,0.2656925791778008,0.5178571428571429,0.25791242193492336
伊利股份,0.20689655172413793,0.03191970180886436,0.46774193548387094,0.22209812617231603
海天味业,0.13793103448275862,0.003766020514788988,0.37662337662337664,0.11208952483492482
恒瑞医药,0.10344827586206896,0.0,0.29,0.03230106858072719
药明康德,0.1724137931034483,0.002873563218390804,0.29591836734693877,0.05538460453782895
迈瑞医疗,0.13793103448275862,0.0008210180623973727,0.29292929292929293,0.045595009603303815
宁德时代,0.20689655172413793,0.05055974403265044,0.3815789473684211,0.10589778784061063
比亚迪,0.13793103448275862,0.014162110467529188,0.3717948717948718,0.07798258324518498
海康威视,0.13793103448275862,0.014916405433646815,0.35365853658536583,0.07507855238245115
立讯精密,0.10344827586206896,0.0,0.27358490566037735,0.041090442060678176
中国石油,0.20689655172413793,0.007963875205254515,0.3625,0.1348094768722423
中国神华,0.10344827586206896,0.0,0.34523809523809523,0.08114404523091094
紫金矿业,0.10344827586206896,0.0,0.3918918918918919,0.1114223898766288
三一重工,0.10344827586206896,0.0,0.4461538461538462,0.15511618362472418
中国中免,0.27586206896551724,0.12000720953922923,0.3918918918918919,0.12402389730809495
美的集团,0.10344827586206896,0.0,0.3918918918918919,0.11963563408416876
中国移动,0.20689655172413793,0.03494551425585908,0.3625,0.11915943310121434
中兴通讯,0.1724137931034483,0.017872070458277357,0.35802469135802467,0.09200150842774081
