,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯
工商银行,1.0,0.753593443520569,0.7506933761837903,0.3829031117413685,0.3642539503818409,0.38525026076951363,0.332898935264835,0.34278866880472253,0.34448075325633865,0.1625337555056363,0.22950860485440774,0.08742692500977997,0.06856009780208962,0.12206918925307904,0.041419195404699564,0.030227546315822446,-0.049516474483729984,0.012099488151570215,-0.08863834845551562,-0.01734997653205293,0.033047999657203335,-0.0693382746779413,0.44742400048477543,0.3581656250922029,0.10119627429092408,0.08611427568249767,-0.01699462368389387,0.14082743303558903,0.285771279264871,0.056856823279991475
建设银行,0.753593443520569,1.0,0.7459251242444158,0.3917108474856997,0.38792948286223,0.3659394215927507,0.2902687252881915,0.31652283884997834,0.30766184453974915,0.16938037142688506,0.25269260013650185,0.04818265169577334,0.08550087925508174,0.13604762423424144,0.01968205786155168,0.010902103643336807,-0.0745964966372877,-0.03578941021086555,-0.13469148461889743,-0.05061026570839385,0.06362721779036935,-0.06768111854535268,0.497348763744097,0.41782294429592115,0.09247028616627753,0.08271122701950503,-0.01675904446898555,0.11152274672897172,0.2838771921406761,0.07241959978332126
农业银行,0.7506933761837903,0.7459251242444158,1.0,0.35488758334374515,0.35836950593677447,0.341701819315869,0.31173839519601,0.3156380420728022,0.3140389316902088,0.14941339878030788,0.20296018718985517,0.0780816524987444,0.05238611004225488,0.11154294113003835,0.043301152114568586,-0.017772988338762088,-0.1012415796002787,-0.027199417349459687,-0.11378437865753034,-0.0406416200141731,-0.013576308966532455,-0.09806171395911117,0.48319914009325543,0.3685592750151254,0.1403907913385671,0.07064399436551612,-0.028738741256484943,0.13312337974170618,0.25261999829346304,0.07278796551275278
招商银行,0.3829031117413685,0.3917108474856997,0.35488758334374515,1.0,0.5764698118576607,0.7510133099424622,0.6184111866143941,0.588187573144106,0.4885235088916559,0.5089293043990303,0.4747803803553016,0.4378988672048551,0.47587349811695145,0.4874030282555733,0.37931635913331074,0.15684042191243536,0.21538685429238433,0.16703771099948275,0.27251017272530953,0.28246380166688145,0.2528498691672182,0.10643398666373981,0.34918062372814995,0.30849668088785365,0.28859500186986514,0.47602924105109806,0.41084465166332185,0.39160361774962027,0.13305648129167896,0.11274811684279312
兴业银行,0.3642539503818409,0.38792948286223,0.35836950593677447,0.5764698118576607,1.0,0.5730402334847885,0.461521026456423,0.47422346792229103,0.3696596298970616,0.3968963437298652,0.36767210724962895,0.3173230417743687,0.2844078933289635,0.2913562733991368,0.28313224496722816,0.07402121932770374,0.14737294319930355,0.09934228965315339,0.1821476388469651,0.19811721070652105,0.2258221451806409,0.11538429796956559,0.3413903422048601,0.31075325226658235,0.192473272298491,0.3532839618947503,0.2819492341922742,0.3462943631158359,0.1737654695879548,0.170915080299899
平安银行,0.38525026076951363,0.3659394215927507,0.341701819315869,0.7510133099424622,0.5730402334847885,1.0,0.7042264814032824,0.6052085151962946,0.5732463533718302,0.553398603610162,0.5013476758598094,0.42033256457215784,0.45964305178198694,0.4441266046790066,0.3713721295744053,0.16375005411798013,0.225778481693127,0.2164064875454167,0.2653357857227684,0.2403095563432895,0.23602599641688984,0.07427346765610215,0.3394854317447302,0.31573877534223077,0.30009002886387665,0.5126434896262068,0.4175122567068736,0.4291821255594739,0.17252293335744923,0.12262111281501528
中国平安,0.332898935264835,0.2902687252881915,0.31173839519601,0.6184111866143941,0.461521026456423,0.7042264814032824,1.0,0.6104754555349927,0.7150418390976342,0.4965313236656293,0.4029613963263524,0.4099824004255098,0.4438468174465259,0.4320481919405677,0.3792195923335482,0.18946398948043713,0.2272301584607581,0.18982497906686396,0.2811129000479758,0.3808273135643195,0.30409201733208024,0.10244780575085047,0.3231789858727285,0.28711185127482347,0.3775103892156428,0.47741223681016526,0.3894639314066857,0.4422868120463418,0.24626429443680523,0.18648772993186202
中信证券,0.34278866880472253,0.31652283884997834,0.3156380420728022,0.588187573144106,0.47422346792229103,0.6052085151962946,0.6104754555349927,1.0,0.486291180343336,0.4879524834033205,0.430395419718541,0.3947208214249099,0.399371897932205,0.4272995612536019,0.3841684832996321,0.22564979677582075,0.24447411732124705,0.1557120388189148,0.2955049893050778,0.28958100907939394,0.3022379601842165,0.20546795295355397,0.2944809120077458,0.2139231437030843,0.2571233158531019,0.45422575001591675,0.3942558264630446,0.38127765211152365,0.15379894589186457,0.1874328080770084
中国人寿,0.34448075325633865,0.30766184453974915,0.3140389316902088,0.4885235088916559,0.3696596298970616,0.5732463533718302,0.7150418390976342,0.486291180343336,1.0,0.36408207128833875,0.3269591146118561,0.3126003393805514,0.3029773063664488,0.30143509143473185,0.2850483790808086,0.20770077715003793,0.1513990939890718,0.13725249580474236,0.18543310774580068,0.22051227998931197,0.2732710083917472,0.05685267104720891,0.2541286522837469,0.23357041424483618,0.2547831865362089,0.387480679472904,0.269688808835973,0.3581329219497169,0.2866157871460842,0.2467381030724283
万科A,0.1625337555056363,0.16938037142688506,0.14941339878030788,0.5089293043990303,0.3968963437298652,0.553398603610162,0.4965313236656293,0.4879524834033205,0.36408207128833875,1.0,0.764849597678264,0.3287902664000894,0.36402959458424405,0.33675200264974825,0.3122399154480628,0.10974179512894418,0.21742002537482505,0.1675016564403336,0.29448368604785974,0.2532322304453261,0.23572929494612435,0.09566649320792703,0.10429788654735428,0.1214645024566107,0.1316662426403861,0.4168845028815494,0.4598522909001864,0.415491641726763,0.020584238333928462,0.19075559665004085
