,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯,沪深300指数,中证500指数
工商银行,0.0,0.47051141279993774,0.488189393025318,1.0573489320270173,1.0554187782698092,1.0520251866234869,1.114984781174362,1.1028640031028443,1.1070204033411657,1.2768936002225586,1.2167337548582846,1.3404106515122651,1.358126057133396,1.3091200787515793,1.3804672473408024,1.3899240455353443,1.4527595406286231,1.4043562832705214,1.4830309080000512,1.4280561724866774,1.3877532165043502,1.467918416620054,0.9956958487208198,1.0797542923508785,1.3313477656768093,1.3433990073478714,1.4276180520995723,1.2953062662528316,1.165583153894546,1.368885412129979,1.2163832093493754,1.35419370966476
建设银行,0.47051141279993774,0.0,0.5249933717451314,1.05411166616511,1.0345943258216668,1.0789725291687589,1.1618713520520259,1.134525406824781,1.148298161495854,1.273040637478796,1.1985351158388762,1.3746375529126547,1.3449818239255733,1.2983748770744243,1.3985180642229886,1.405631803629383,1.4710544987120302,1.4425519275288916,1.5160653305244352,1.453635923688548,1.363592611256055,1.4658896746253935,0.9463535055856138,1.0205105903684675,1.339852467753443,1.347306356080935,1.427236897764438,1.322370966735617,1.171467199093282,1.3570971470947102,1.2310450862420554,1.3462159215114462
农业银行,0.488189393025318,0.5249933717451314,0.0,1.0951259005743403,1.0705692276466616,1.1063415636790632,1.1427356810524323,1.1371869324652384,1.1438666061027785,1.291224804895029,1.2449788770411412,1.3498736721023297,1.3724531611831878,1.3205467325892726,1.3796479782626832,1.4280145208489632,1.4904065432857907,1.4356791294563844,1.5002298771733773,1.445776922130607,1.4247218496887497,1.4880895839217716,0.9659835521661759,1.0766999438313294,1.3003258627463947,1.3576048181078677,1.4363479148998957,1.3044903764186202,1.2019282150684802,1.3571347482140093,1.2371692489308355,1.3592453759648166
招商银行,1.0573489320270173,1.05411166616511,1.0951259005743403,0.0,0.8073167555278868,0.570845138697496,0.8051954450804463,0.8409177320542263,0.9715995644675399,0.9420791054067998,0.983186547679799,1.0104475081436735,0.9809966727592307,0.949373472558876,1.0814915013521356,1.2884977158492,1.2400984063867497,1.2771980836984898,1.1877151836816275,1.1765059058676006,1.2060798124876393,1.3310037881936185,1.1150038927513302,1.1442272954167412,1.1731144424198678,0.9808972719593435,1.0557543222128571,1.0670782447266185,1.30876786115811,1.3264563132942497,0.7753050406936642,1.0441393684661422
兴业银行,1.0554187782698092,1.0345943258216668,1.0705692276466616,0.8073167555278868,0.0,0.8068376836943829,0.9668017186801883,0.9482651238955665,1.0752434194541078,1.0410447646027878,1.0746692767329704,1.1183926207803458,1.1597765949377516,1.1429854192338422,1.159930316252823,1.3530164976810457,1.2907574975489136,1.3298082496261696,1.2585721625285273,1.242516239267035,1.2188600763518718,1.3185142010650912,1.1039205620929333,1.1248103110004832,1.2492573288205961,1.0893076666017623,1.1654737846229366,1.0934423609133062,1.2664934609132732,1.270813237075281,0.93636519467812,1.1451191768402338
平安银行,1.0520251866234869,1.0789725291687589,1.1063415636790632,0.570845138697496,0.8068376836943829,0.0,0.6713219393432395,0.8130196345942482,0.8676044392944406,0.8845157613365124,0.949564543643806,1.0266986966878808,0.9955744089333669,0.9961391125202026,1.0870511403081364,1.281768232351793,1.2297836407657834,1.2325216989174408,1.1926514270081425,1.213521247013984,1.2196619829781807,1.3562994054122275,1.1222378474678991,1.1350777988902647,1.1606439867189697,0.9354137907372416,1.0461090945818567,1.0246006589790175,1.2748586207341153,1.3178425214632747,0.7626082013864308,1.0277639903734956
中国平安,1.114984781174362,1.1618713520520259,1.1427356810524323,0.8051954450804463,0.9668017186801883,0.6713219393432395,0.0,0.8220018713822602,0.6888829905030135,0.9637411725107371,1.0650951788038459,1.0466103112577891,1.0221718701427425,1.0192229610853873,1.086592618720274,1.262899503935076,1.2323972358224866,1.259525345258427,1.1832189092373535,1.086536362777553,1.1630455878002812,1.3352899844916606,1.1440010630632758,1.168562550029328,1.0930087760670117,0.9862784505180079,1.082432712064785,1.0197493365320172,1.2147109952857416,1.2678263659774167,0.7367543239723982,0.9717790919789414
中信证券,1.1028640031028443,1.134525406824781,1.1371869324652384,0.8409177320542263,0.9482651238955665,0.8130196345942482,0.8220018713822602,0.0,0.9781159785634713,0.9702384744911934,1.0345434761055785,1.060259865130256,1.0656897620816526,1.0217699715109883,1.0794934747312415,1.230782090816595,1.2162909700943554,1.2879500185717767,1.1686441294955623,1.1719137207582497,1.1631810468531203,1.24993189579448,1.1690023710847992,1.234748114528204,1.2034908466751228,1.008523175805533,1.0755164407717726,1.0805807620723964,1.2925170777417017,1.2661621488404686,0.7138362813811461,0.9257244346375237
中国人寿,1.1070204033411657,1.148298161495854,1.1438666061027785,0.9715995644675399,1.0752434194541078,0.8676044392944406,0.6888829905030135,0.9781159785634713,0.0,1.1059828621186758,1.1425519199308858,1.1479832506355798,1.164120315320471,1.1561942262654008,1.1793780410305246,1.249327510167412,1.2972748261843572,1.3054681565170254,1.2682996488669545,1.237233607023743,1.1936066439441355,1.3714607385527764,1.209307781741462,1.2204689556143173,1.2093263165781831,1.0841785862331874,1.1969669580530098,1.1095671269299752,1.1816572825608922,1.2191241922084497,0.9181994814069369,1.1011530089548196
万科A,1.2768936002225586,1.273040637478796,1.291224804895029,0.9420791054067998,1.0410447646027878,0.8845157613365124,0.9637411725107371,0.9702384744911934,1.1059828621186758,0.0,0.5974136633166198,1.1289202052208012,1.1029587002357941,1.1183652775862742,1.1512262713225798,1.3286610695503223,1.2407769393667796,1.2786723809843052,1.171068177993944,1.2062555880902115,1.2239873901257325,1.340649539388808,1.3329997930012776,1.3158866886426706,1.3111406157293763,1.0501837854942102,1.0108645907448253,1.0478345438010226,1.398626575673615,1.2642605641041231,0.929712538404336,1.079459223536137
