,年化收益(%),年化波动(%),偏度,峰度
工商银行,22.14,16.51,0.122,1.145
建设银行,15.0,17.93,0.405,0.865
农业银行,46.82,20.63,0.018,0.628
招商银行,13.69,18.09,-0.618,3.277
兴业银行,15.9,19.37,0.093,1.58
平安银行,6.06,15.63,-0.522,3.74
中国平安,35.83,21.11,0.31,3.343
中信证券,7.79,22.99,0.157,4.204
中国人寿,15.64,25.31,0.291,2.546
万科A,-44.22,32.3,1.01,6.668
保利发展,-34.49,23.76,0.404,4.099
贵州茅台,-4.71,16.7,0.319,3.57
五粮液,-20.02,18.47,0.704,3.467
伊利股份,0.03,17.36,1.146,4.671
海天味业,-17.75,18.33,0.409,2.052
恒瑞医药,29.7,31.5,0.555,2.39
药明康德,58.33,45.13,-0.276,2.535
迈瑞医疗,-25.28,24.38,0.305,1.359
宁德时代,40.08,36.82,0.147,4.339
比亚迪,9.43,33.4,-0.017,4.357
海康威视,3.36,22.35,0.556,7.225
立讯精密,39.01,46.69,-0.039,1.903
中国石油,26.88,21.43,-0.293,3.958
中国神华,3.02,19.61,0.3,2.07
紫金矿业,87.71,36.9,-0.047,2.57
三一重工,33.96,27.64,0.43,2.926
中国中免,41.66,35.82,1.538,5.324
美的集团,11.79,19.89,-0.621,4.289
中国移动,-9.02,13.98,0.16,1.66
中兴通讯,1.78,49.84,0.089,2.066
沪深300指数,22.75,13.96,-0.616,3.689
中证500指数,34.95,18.35,-0.775,3.614
