,degree,betweenness,closeness,eigenvector
工商银行,0.06896551724137931,0.06896551724137931,0.21804511278195488,0.11700967239667619
建设银行,0.10344827586206896,0.4433497536945813,0.27102803738317754,0.26176010239769887
农业银行,0.034482758620689655,0.0,0.18012422360248448,0.044678703189662404
招商银行,0.13793103448275862,0.7118226600985221,0.30526315789473685,0.42094845285679033
兴业银行,0.034482758620689655,0.0,0.23577235772357724,0.16073280195981243
平安银行,0.13793103448275862,0.45566502463054187,0.27102803738317754,0.48160224488755093
中国平安,0.1724137931034483,0.26108374384236455,0.2283464566929134,0.4411742366763732
中信证券,0.034482758620689655,0.0,0.1870967741935484,0.16845381405902685
中国人寿,0.034482758620689655,0.0,0.1870967741935484,0.16845381405902685
万科A,0.06896551724137931,0.06896551724137931,0.21804511278195488,0.21527789845768114
保利发展,0.034482758620689655,0.0,0.18012422360248448,0.0822000082610163
贵州茅台,0.034482758620689655,0.0,0.18238993710691823,0.022758385155470805
五粮液,0.10344827586206896,0.39408866995073893,0.22137404580152673,0.059599597242529015
伊利股份,0.06896551724137931,0.4433497536945813,0.2761904761904762,0.19834141299452396
海天味业,0.06896551724137931,0.41379310344827586,0.24786324786324787,0.09849245961506684
恒瑞医药,0.06896551724137931,0.06896551724137931,0.1457286432160804,0.007170946763752617
药明康德,0.06896551724137931,0.1330049261083744,0.1676300578034682,0.01603906671464994
迈瑞医疗,0.034482758620689655,0.0,0.1277533039647577,0.0027385725233029425
宁德时代,0.06896551724137931,0.06896551724137931,0.1657142857142857,0.015571377771281753
比亚迪,0.034482758620689655,0.0,0.14285714285714285,0.005946419365349263
海康威视,0.06896551724137931,0.06896551724137931,0.14720812182741116,0.014071926450139
立讯精密,0.034482758620689655,0.0,0.1288888888888889,0.005373305334243065
中国石油,0.10344827586206896,0.3054187192118227,0.232,0.14757171957553727
中国神华,0.034482758620689655,0.0,0.1895424836601307,0.056348597248224025
紫金矿业,0.034482758620689655,0.0,0.1870967741935484,0.16845381405902685
三一重工,0.034482758620689655,0.0,0.21481481481481482,0.18389131725696178
中国中免,0.10344827586206896,0.3103448275862069,0.19463087248322147,0.03482985969267347
美的集团,0.034482758620689655,0.0,0.1870967741935484,0.16845381405902685
中国移动,0.06896551724137931,0.19211822660098524,0.19727891156462585,0.06836873739492697
中兴通讯,0.06896551724137931,0.1330049261083744,0.1695906432748538,0.03147926837913207
