,degree,betweenness,closeness,eigenvector
中国平安,0.41379310344827586,0.30579663676072405,0.5686274509803921,0.362568449859514
海天味业,0.4482758620689655,0.25311230701130283,0.5576923076923077,0.38912411851204265
中国中免,0.48275862068965514,0.20688044751013268,0.5178571428571429,0.38798470134835433
建设银行,0.27586206896551724,0.20212848408976178,0.4142857142857143,0.10101111600973046
平安银行,0.24137931034482757,0.1888110475618192,0.5178571428571429,0.20889829766654594
兴业银行,0.20689655172413793,0.11191448808065921,0.4603174603174603,0.1327082080001595
招商银行,0.20689655172413793,0.07553080243651975,0.4603174603174603,0.14597389039533729
海康威视,0.27586206896551724,0.059466059466059464,0.46774193548387094,0.25569886307955547
五粮液,0.27586206896551724,0.0418523023709926,0.46774193548387094,0.2708401560918298
工商银行,0.20689655172413793,0.034440021752772935,0.3625,0.07174163509693511
