,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),24.1,20.11,1.1983,-11.41,-2.4183,2.1118,0.5709,7.9322,231.0
均值方差(MV),29.9,17.76,1.6833,-12.02,-2.3389,2.4881,-0.0269,2.9553,231.0
风险平价(RP),25.82,17.79,1.4518,-10.02,-2.1823,2.5779,0.4838,7.9847,231.0
层次化RP(HRP),27.45,17.26,1.5908,-9.72,-2.1071,2.8242,0.5533,8.0116,231.0
BL无观点,27.89,17.76,1.5699,-9.49,-2.1379,2.9375,0.5693,8.1292,231.0
BL动量观点,29.34,22.17,1.3234,-12.08,-2.7893,2.4281,0.3677,8.3407,231.0
反中心性(规则1),23.22,19.96,1.1635,-11.54,-2.4358,2.0117,0.5135,7.9754,231.0
直接中心性(规则2),25.67,22.36,1.1482,-11.48,-2.4529,2.2372,0.8488,6.3727,231.0
PageRank(规则3),23.74,20.86,1.1383,-11.3,-2.424,2.1008,0.7135,7.74,231.0
网络正则化RP,26.48,18.14,1.4598,-10.68,-2.2574,2.4792,0.3406,7.2811,231.0
★网络增强BL,20.96,17.23,1.2165,-11.06,-2.1959,1.8948,0.1173,6.4643,231.0
★去噪风险平价,26.02,17.54,1.4835,-9.69,-2.1409,2.6859,0.509,7.8987,231.0
★社区BL-RP,26.81,18.59,1.4425,-10.89,-2.2916,2.4633,0.4278,7.2475,231.0
