,年化收益(%),年化波动(%),偏度,峰度
工商银行,27.1,17.91,0.04,2.706
建设银行,23.71,19.0,-0.001,2.412
农业银行,39.69,20.38,-0.15,2.388
招商银行,9.62,21.86,0.313,2.719
兴业银行,12.3,19.31,0.121,4.062
平安银行,-0.65,20.68,0.601,4.505
中国平安,17.89,25.48,0.706,4.339
中信证券,14.3,28.18,0.819,6.743
中国人寿,9.46,30.98,0.552,3.94
万科A,-45.68,35.6,0.943,4.643
保利发展,-28.55,32.55,0.809,4.912
贵州茅台,-5.48,21.43,0.707,5.365
五粮液,-13.95,26.97,0.96,4.539
伊利股份,1.65,20.97,0.967,5.498
海天味业,-17.23,26.07,0.745,5.202
恒瑞医药,15.62,31.59,0.488,3.334
药明康德,5.78,43.82,-0.068,2.739
迈瑞医疗,-16.01,27.81,0.568,4.919
宁德时代,19.62,36.93,0.635,5.127
比亚迪,5.29,31.61,0.327,2.711
海康威视,-1.94,28.1,0.545,2.97
立讯精密,20.99,41.72,-0.013,1.726
中国石油,31.6,28.8,0.305,4.461
中国神华,20.3,22.67,0.35,1.679
紫金矿业,43.29,34.18,0.069,1.747
三一重工,11.91,28.15,0.581,3.099
中国中免,-26.59,37.34,1.16,3.909
美的集团,19.74,23.71,0.069,2.31
中国移动,16.33,23.38,0.305,3.104
中兴通讯,15.08,45.86,0.281,1.99
沪深300指数,6.34,16.07,0.381,5.158
中证500指数,7.77,20.7,0.336,5.802
