code,name,sector,trading_days
sh.601398,工商银行,银行,242
sh.601939,建设银行,银行,242
sh.601288,农业银行,银行,242
sh.600036,招商银行,银行,242
sh.601166,兴业银行,银行,242
sz.000001,平安银行,银行,242
sh.601318,中国平安,非银金融,242
sh.600030,中信证券,非银金融,242
sh.601628,中国人寿,非银金融,242
sz.000002,万科A,房地产,242
sh.600048,保利发展,房地产,242
sh.600519,贵州茅台,食品饮料,242
sz.000858,五粮液,食品饮料,242
sh.600887,伊利股份,食品饮料,242
sh.603288,海天味业,食品饮料,242
sh.600276,恒瑞医药,医药生物,242
sh.603259,药明康德,医药生物,242
sz.300760,迈瑞医疗,医药生物,242
sz.300750,宁德时代,科技制造,242
sz.002594,比亚迪,科技制造,242
sz.002415,海康威视,科技制造,242
sz.002475,立讯精密,科技制造,242
sh.601857,中国石油,能源材料,242
sh.601088,中国神华,能源材料,242
sh.601899,紫金矿业,能源材料,242
sh.600031,三一重工,工业制造,242
sh.601888,中国中免,工业制造,242
sz.000333,美的集团,工业制造,242
sh.600941,中国移动,通信,242
sz.000063,中兴通讯,通信,242
sh.000300,沪深300指数,宽基指数,242
sh.000905,中证500指数,宽基指数,242
