,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),10.66,13.21,0.8069,-9.72,-2.0147,1.0974,-1.8668,13.3203,243.0
均值方差(MV),11.82,16.85,0.7016,-12.48,-2.4462,0.9477,-1.0825,5.4138,243.0
风险平价(RP),12.03,11.66,1.031,-8.04,-1.802,1.4963,-2.0358,14.0823,243.0
层次化RP(HRP),12.45,11.1,1.1209,-7.64,-1.6826,1.6283,-1.9387,12.9503,243.0
BL无观点,11.1,11.2,0.9916,-7.58,-1.7203,1.4639,-1.8086,12.6053,243.0
BL动量观点,3.38,15.86,0.2131,-11.23,-2.525,0.301,-1.1053,5.4194,243.0
反中心性(规则1),10.68,13.52,0.79,-10.18,-2.0364,1.0488,-2.0214,14.8065,243.0
直接中心性(规则2),8.63,13.9,0.6208,-8.2,-2.012,1.0528,-0.7561,5.1396,243.0
PageRank(规则3),9.26,13.12,0.7058,-9.2,-2.0124,1.0057,-1.5413,10.9161,243.0
网络正则化RP,13.05,11.95,1.0922,-8.57,-1.8417,1.5218,-2.2519,16.4135,243.0
★网络增强BL,21.46,12.9,1.6637,-9.1,-1.8187,2.3597,-2.261,17.9102,243.0
★去噪风险平价,12.06,11.57,1.0421,-7.86,-1.7888,1.5346,-1.9958,13.5055,243.0
★社区BL-RP,12.26,12.22,1.0028,-8.59,-1.9017,1.4276,-2.1818,15.2922,243.0
