,degree,betweenness,closeness,eigenvector
工商银行,0.27586206896551724,0.06648175989308992,0.38666666666666666,0.135912849174809
建设银行,0.1724137931034483,0.013847127147619757,0.35365853658536583,0.0889399576085044
农业银行,0.13793103448275862,0.010002914436411972,0.3493975903614458,0.0686222572996618
招商银行,0.24137931034482757,0.06412906332857071,0.4142857142857143,0.15820618995441946
兴业银行,0.24137931034482757,0.15157335138862235,0.47540983606557374,0.19761621117915346
平安银行,0.24137931034482757,0.13709810988136115,0.5,0.22518981450598186
中国平安,0.27586206896551724,0.13442100455647257,0.5272727272727272,0.285457934358859
中信证券,0.27586206896551724,0.13328201970443346,0.4915254237288136,0.2776274572635535
中国人寿,0.3793103448275862,0.3584964706885889,0.5918367346938775,0.3788229927324937
万科A,0.10344827586206896,0.0,0.3411764705882353,0.08071247486412664
保利发展,0.1724137931034483,0.022301391821096257,0.42028985507246375,0.15444749889776171
贵州茅台,0.27586206896551724,0.08489286780542939,0.5,0.285786235216695
五粮液,0.3448275862068966,0.13688174851967955,0.4915254237288136,0.2875246085453404
伊利股份,0.10344827586206896,0.0,0.37662337662337664,0.11325700076673438
海天味业,0.20689655172413793,0.019417077175697867,0.4264705882352941,0.19532885676758963
恒瑞医药,0.10344827586206896,0.0,0.34523809523809523,0.09967501778654274
药明康德,0.20689655172413793,0.0075328407224958946,0.3625,0.14815522059262592
迈瑞医疗,0.10344827586206896,0.0,0.3493975903614458,0.09148307250623733
宁德时代,0.3103448275862069,0.11941952068183594,0.46774193548387094,0.25332566054369715
比亚迪,0.3103448275862069,0.13712076784736885,0.48333333333333334,0.2749880205720152
海康威视,0.27586206896551724,0.029306923918992884,0.38666666666666666,0.19772945356615382
立讯精密,0.13793103448275862,0.0016420361247947454,0.3670886075949367,0.12030081119590659
中国石油,0.13793103448275862,0.006799966590606986,0.3670886075949367,0.08474530550045735
中国神华,0.10344827586206896,0.0,0.30851063829787234,0.05582531364292852
紫金矿业,0.10344827586206896,0.0,0.3372093023255814,0.0882911625853521
三一重工,0.10344827586206896,0.0,0.42028985507246375,0.13366348243108014
中国中免,0.13793103448275862,0.0008210180623973727,0.34523809523809523,0.10579745652431494
美的集团,0.10344827586206896,0.0,0.4027777777777778,0.12653735825467874
中国移动,0.10344827586206896,0.0,0.2871287128712871,0.04324337356685612
中兴通讯,0.10344827586206896,0.0,0.35365853658536583,0.08776786324201838
