,degree,betweenness,closeness,eigenvector
平安银行,0.48275862068965514,0.3272592350178557,0.6041666666666666,0.4132412826111321
招商银行,0.4482758620689655,0.3142698844669287,0.5918367346938775,0.40938581115357997
五粮液,0.3103448275862069,0.2656925791778008,0.5178571428571429,0.25791242193492336
建设银行,0.3448275862068966,0.25051100377455054,0.5,0.2707509381001359
中国中免,0.27586206896551724,0.12000720953922923,0.3918918918918919,0.12402389730809495
贵州茅台,0.20689655172413793,0.07731574665072201,0.46774193548387094,0.1767750244366605
工商银行,0.20689655172413793,0.060051032711131234,0.46774193548387094,0.2163411956438468
宁德时代,0.20689655172413793,0.05055974403265044,0.3815789473684211,0.10589778784061063
中国移动,0.20689655172413793,0.03494551425585908,0.3625,0.11915943310121434
伊利股份,0.20689655172413793,0.03191970180886436,0.46774193548387094,0.22209812617231603
