,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
工商银行,0.0,0.9614552551362839,1.1805402448876654,1.269751935317573,1.403771796630595,1.4656293173859287,1.0888865645837604,1.2711275261403303,1.3561014980232136,1.416972021550964,1.3861327316267238,1.4075340027848053,1.4232266692591482,1.3669624809735648,1.2848471609088261,1.4784050959407649,1.4590038098591098,1.117512115986861,0.7014443570886713,1.429142617614457,1.473484571554181,0.9482434628000789,1.3827255572834645,1.3500178628114226,1.3745408521722555,1.3904532930905011,1.3824827545386427,1.2886901141330056,1.4776069056599594,1.1363091903524103
招商银行,0.9614552551362839,0.0,0.6706144724185391,0.9332922128451088,1.0299327300075873,1.0966890256395567,1.0956204490478665,1.1541643715064587,1.3269940182961986,1.5435860800699044,1.5192904071681832,1.5351465131944835,1.5314046039067437,1.4772829537499368,0.8530271715526315,1.127824526654693,1.0424878557192845,0.7146397482704314,0.5491131616487553,1.0736481359060883,1.0679706621265628,0.9243007994223603,1.3462608241909124,1.1854617696064782,1.3851246155710668,1.5229533196507838,1.511284094610441,0.8689437469593125,1.1563914317104622,0.7745459197748905
中国平安,1.1805402448876654,0.6706144724185391,0.0,0.8109159979854592,0.8798381288707927,0.9528467701550262,1.1633431882053031,1.1775847297375954,1.3170106853706032,1.5752809779185206,1.5528336771133777,1.5788197873224528,1.5497714083566705,1.5109383437085702,0.6267431246930799,0.9039872738415099,0.7953603591757235,0.5396023134910924,0.8117314069774989,0.8090588547703885,0.8371142397306206,0.9492518681220171,1.4255521230075552,1.108897041107707,1.314478189579045,1.5507663703964012,1.5187502676394522,0.6431513520219133,0.9343250979991048,0.6064084023463103
贵州茅台,1.269751935317573,0.9332922128451088,0.8109159979854592,0.0,0.9668308161907473,1.025037016242404,1.2402193542363291,1.2127210009810865,1.4305539089632529,1.5702222388931413,1.5878356566464524,1.621851516817771,1.5623949102027002,1.5781225618768826,0.7079459486223956,0.925251086479426,0.9090793281492293,0.6056604554391345,1.0366617220008614,0.9480103478103628,0.8588180888647925,1.0343125770062245,1.4561064611517844,1.0714491006261742,1.2659836350494467,1.5700128969358675,1.527236339930036,0.6877590492221014,0.9505926418216029,0.6024006664627645
宁德时代,1.403771796630595,1.0299327300075873,0.8798381288707927,0.9668308161907473,0.0,0.8388026418460556,1.2925051636126788,1.314324780975051,1.295857196263656,1.5971823052499985,1.5632712938091728,1.568427525788128,1.5141955617477745,1.5143579320947667,0.7315458968003578,0.906403148159623,0.6066583672034819,0.8524994108227391,1.1357759031404009,0.9192226000294634,0.7808760381030185,1.2000840157646042,1.4526737606659146,1.179467039264779,1.387643445719764,1.5713593728779007,1.5668201763123883,0.7715542856293383,0.9445888060074358,0.8981720964162228
比亚迪,1.4656293173859287,1.0966890256395567,0.9528467701550262,1.025037016242404,0.8388026418460556,0.0,1.3191621217240985,1.2389183588221684,1.3066415440503543,1.5786162777171757,1.5584237513522767,1.5400811558103833,1.4978234112407163,1.5491389248393175,0.832112486533786,0.8987024016357864,0.8014813653389565,0.9326127420787658,1.2377836403789677,0.9946062004623178,0.8694206090966081,1.2413677350167631,1.4247471696245708,1.2090417311361463,1.3552382705328219,1.581015320720187,1.5606115477905744,0.8403879557958575,0.9102679719812754,0.9375012448816213
中国石油,1.0888865645837604,1.0956204490478665,1.1633431882053031,1.2402193542363291,1.2925051636126788,1.3191621217240985,0.0,0.9057161140661507,1.3334996809799986,1.4906134187361986,1.452522871646398,1.4577588233852625,1.4543605415167604,1.4476740491269973,1.101580968807589,1.2354487674195287,1.2395193877991786,1.0189043840974477,1.0158308292848173,1.3108972137789372,1.2834124417730708,0.8013541226169659,1.2175073248768689,1.1231728653877537,1.3985960569462528,1.4525877895727515,1.4158089680855592,1.116428447735357,1.2583283705586532,1.039372285600157
紫金矿业,1.2711275261403303,1.1541643715064587,1.1775847297375954,1.2127210009810865,1.314324780975051,1.2389183588221684,0.9057161140661507,0.0,1.400948175593249,1.5207959653807421,1.4842682837710428,1.4793701683808633,1.5073837363080465,1.4782300096493592,1.067742715675677,1.1388759598352203,1.2154245482507209,1.0212052761947163,1.1439317469814207,1.2305557887165572,1.2583478103148111,0.9804432463565113,0.990803848584573,1.153716624901868,1.3667852948723174,1.5051206768182024,1.4655459926667322,1.0676915617409344,1.1579342004005746,1.0343582942844098
企业债指数,1.3561014980232136,1.3269940182961986,1.3170106853706032,1.4305539089632529,1.295857196263656,1.3066415440503543,1.3334996809799986,1.400948175593249,0.0,1.4774604128162496,1.4218639736143668,1.4265931460920325,1.4558694616364065,1.4099064035953763,1.3449855092903658,1.4066528002896892,1.3155580726397746,1.362414513185485,1.30683633487022,1.4171839609983314,1.3262934173971253,1.3579380277723998,1.473604171501932,1.38855645160799,1.4308142512656292,1.420066315406575,1.4639636917218748,1.3597409482822964,1.4158143153639262,1.3768694756236042
国债ETF,1.416972021550964,1.5435860800699044,1.5752809779185206,1.5702222388931413,1.5971823052499985,1.5786162777171757,1.4906134187361986,1.5207959653807421,1.4774604128162496,0.0,0.5387021971868261,0.7312600868745623,0.8330246285800853,0.7049891654551285,1.6549462572397964,1.6490583001939372,1.6537937778372886,1.6387773859877057,1.5293584593137761,1.6235328131779345,1.647394784419438,1.5322508407801068,1.4312080653521735,1.599886988232047,1.4271259816337187,0.6231556586294767,0.6447626646604526,1.6546670611086802,1.6511326667859856,1.6358836117086994
