,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
工商银行,1.0,0.6424505194229103,0.259906412496225,0.18945153103745804,-0.026673231883037912,-0.03181891951686024,0.37864327247937085,-0.14805913246988436,-0.03864520686890597,-0.07533906417459142,-0.00872934118914715,0.05328505206885759,0.010113923935010998,0.025050150412296447,0.01614195325559972,-0.17460085380926096,-0.1711542740463198,0.22668238769413843,0.44225597677104317,-0.03794545144102944,-0.1381293038599598,0.5019749201513914,0.020248662194722714,-0.041811993078935114,-0.12901998129540873,0.0034008699962901822,-0.0354938924850396,0.01189163872525135,-0.16909130933427818,0.18325904161469841
招商银行,0.6424505194229103,1.0,0.43176131775719057,0.37916816159086497,0.15315259830471442,0.18594974101604586,0.4157782873869783,0.0702102039060624,-0.07635529060273943,-0.1422756609830095,-0.1432909231061094,-0.08615551954832025,-0.10256129662290396,-0.10314561086282255,0.26040152100066216,0.03275680367254565,0.04059475717604609,0.4318775183856694,0.4084214931572644,0.17650515534510364,0.012802311198120692,0.5160317823042293,0.08243069844301867,0.15530714158980943,-0.06441533557596874,-0.17319373871118793,-0.19416489229518138,0.24372004782553247,0.04831420837625851,0.3992160596929732
中国平安,0.259906412496225,0.43176131775719057,1.0,0.5457374372348092,0.392928945614248,0.35327203685317543,0.21893073898839846,0.21605120573073014,-0.04762427311401169,-0.1589482772767258,-0.22271173689510815,-0.11992894397876522,-0.09849193300821296,-0.21073980847676924,0.5924092570983147,0.4264488169340191,0.4018614930278029,0.6833004697826129,0.2337081082819513,0.6410641608582697,0.37760923679536096,0.47154530822149976,0.06825665135933788,0.13560272026639514,-0.06204411749985023,-0.20474804779477737,-0.17371956990644657,0.5720332460890364,0.3936186309487716,0.6838341223079405
贵州茅台,0.18945153103745804,0.37916816159086497,0.5457374372348092,1.0,0.3880190948122284,0.48223020237126385,0.24748527310869578,0.11067221375747127,-0.13500832354969833,-0.18433584607242584,-0.24826891753465583,-0.19394851264326382,-0.18551156141628236,-0.25527184172770756,0.5144877614123085,0.34015234359930985,0.3282684553038308,0.6298343359371837,0.18958401415259898,0.4288088340062508,0.3561914867301178,0.41269607891891125,-0.017182941701291702,0.22737534108912996,0.04893271713385273,-0.30966883171813575,-0.25426917507177843,0.5227181351502234,0.3246381637411527,0.636256760561952
宁德时代,-0.026673231883037912,0.15315259830471442,0.392928945614248,0.3880190948122284,1.0,0.5883051643515254,0.15976039184816734,0.46558979796887384,-0.06352508568967843,-0.10302611686637922,-0.20415099778998924,-0.14168654575730988,-0.04538806162999929,-0.1618658071885539,0.6594169891726226,0.5610297848542073,0.6970330857543081,0.5607394315177012,0.07215680514231465,0.4743502806658233,0.5777816774109445,0.1868585062306567,0.12989316963193204,0.2813385364117849,0.11126484647022153,-0.17755322556200234,-0.11998632135813384,0.6408644316660576,0.5232392380975311,0.5703039138484076
比亚迪,-0.03181891951686024,0.18594974101604586,0.35327203685317543,0.48223020237126385,0.5883051643515254,1.0,0.08109433026013382,0.31323987482361854,-0.0341155961716635,-0.17584388319437924,-0.23005348372251044,-0.15184765676580217,-0.10240265302493215,-0.17896930882924794,0.5833537296364891,0.5440749374163925,0.5642752657221054,0.532051582808195,0.04841279178774927,0.4950480844913924,0.46846500400853974,0.15258573263910094,0.07592411069552961,0.2676702271434958,0.06339768320020286,-0.19908333790697164,-0.15392391496960675,0.5944045152101161,0.5188753364885358,0.5578264564757925
中国石油,0.37864327247937085,0.4157782873869783,0.21893073898839846,0.24748527310869578,0.15976039184816734,0.08109433026013382,1.0,0.21852078297970026,-0.035257763945797,-0.04410971434447137,-0.09438306630259118,-0.0797649580014739,-0.033458313421939334,0.04651440813828516,0.21642258386264998,0.0358128271921486,0.04916967711659746,0.3505810540828004,0.25494588471096846,0.0764929264277721,0.12601145868052036,0.5565215532871213,0.0809796140138637,0.31738645214643285,0.01175914487711257,-0.08973406334541613,-0.09517982490905008,0.20569655357483826,0.018009901926805995,0.31843587705240717
紫金矿业,-0.14805913246988436,0.0702102039060624,0.21605120573073014,0.11067221375747127,0.46558979796887384,0.31323987482361854,0.21852078297970026,1.0,0.05487513329145162,-0.09947715774652573,-0.1715609252846879,-0.09076428738404818,0.007255349254984941,-0.065869148547466,0.5363654881635518,0.49628539369586955,0.4807485313646692,0.46962436163070415,0.032848915563026305,0.3252774848296133,0.4096445052915637,0.1782978636777959,0.5201773209461417,0.25724478442586707,0.10167475742426803,-0.04677099480286575,-0.025386471728863394,0.5361729007290646,0.4754534799627572,0.47805303386172937
企业债指数,-0.03864520686890597,-0.07635529060273943,-0.04762427311401169,-0.13500832354969833,-0.06352508568967843,-0.0341155961716635,-0.035257763945797,0.05487513329145162,1.0,-0.00020398806995096912,0.05653026902318758,0.08252769533806024,0.02662217221862847,0.018290747890064615,0.004041074696111669,0.08337244962281695,0.0006613659504470031,-0.0038659811250691344,-0.14111156230638536,0.035702393285823274,0.015487065558810242,-0.11047406701408122,0.13148121162898438,-0.039219364093664354,0.16893431998967995,0.06566203605531004,0.0012601899634588384,0.009931486142813929,0.03455112935821075,-0.008952265485308858
国债ETF,-0.07533906417459142,-0.1422756609830095,-0.1589482772767258,-0.18433584607242584,-0.10302611686637922,-0.17584388319437924,-0.04410971434447137,-0.09947715774652573,-0.00020398806995096912,1.0,0.880443004848912,0.6162448178937844,0.5605964206385619,0.7140860674079024,-0.19360609599764622,-0.18926235136775335,-0.19369337813663065,-0.1975240972499096,-0.031708092714475694,-0.15569889718345462,-0.11970630032387454,-0.1318708045585035,-0.0007335088001845571,-0.2476592221647737,0.0492696184297531,0.7355568681806844,0.7467930519014796,-0.21879915143504639,-0.19029470504296064,-0.21049540558285096
