,类别,年化收益(%),年化波动(%),偏度,峰度
工商银行,权益,22.14,16.51,0.122,1.145
招商银行,权益,13.69,18.09,-0.618,3.277
中国平安,权益,35.83,21.11,0.31,3.343
贵州茅台,权益,-4.71,16.7,0.319,3.57
宁德时代,权益,40.08,36.82,0.147,4.339
比亚迪,权益,9.43,33.4,-0.017,4.357
中国石油,权益,26.88,21.43,-0.293,3.958
紫金矿业,权益,87.71,36.9,-0.047,2.57
企业债指数,固定收益,3.09,0.17,1.668,4.841
国债ETF,固定收益,-0.43,1.62,-0.58,6.841
十年国债ETF,固定收益,-1.54,2.46,-0.461,6.017
短债ETF,固定收益,-1.23,2.35,-0.725,5.237
五年地债ETF,固定收益,-1.2,1.89,-1.205,6.835
活跃国债ETF,固定收益,-1.24,2.01,-0.834,6.987
沪深300ETF,权益,22.71,14.04,-0.528,3.603
中证500ETF,权益,35.03,18.3,-0.71,3.717
创业板ETF,权益,51.86,27.7,-0.41,3.667
上证50ETF,权益,17.53,12.26,-0.368,3.687
银行ETF,权益,-11.25,27.41,-9.562,125.368
证券ETF,权益,12.54,23.01,-0.071,4.1
医药ETF,权益,8.23,19.91,-0.42,2.545
红利ETF,权益,-0.01,11.49,-1.306,7.324
黄金ETF,商品,46.48,18.91,-0.503,4.352
能源化工ETF,商品,-12.07,17.52,-0.543,5.212
豆粕ETF,商品,5.94,14.97,0.386,2.643
十年国债期货,固定收益,-1.27,2.45,-0.187,1.543
五年国债期货,固定收益,-0.83,1.72,0.205,0.958
沪深300股指期货,衍生品,24.54,15.59,-0.619,4.656
中证500股指期货,衍生品,34.52,20.55,-0.632,3.472
上证50股指期货,衍生品,18.88,13.46,-0.476,4.822
