,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯,沪深300指数,中证500指数
工商银行,0.0,0.6398774861690676,0.690044775226105,0.8456352411969237,0.9087427859496507,0.9911705868300933,1.2166294320817452,1.4272038761392123,1.2135739853661467,1.3990950226540195,1.428328443519326,1.2732230511285458,1.3214872964963693,1.3161100659488125,1.331159613138077,1.4820813375803725,1.5274831498268877,1.4548050339603207,1.432950265628949,1.4365367517170318,1.4424561340995101,1.487128310344924,1.1147705840401685,1.178988212335503,1.5152947782328587,1.4789978419852907,1.4862613204729354,1.2373613600626703,1.2129769376722652,1.5453656413846908,1.3987017443561771,1.5336373460843549
建设银行,0.6398774861690676,0.0,0.775470695146101,0.9488817316674142,0.9521446399707364,1.0344116416358697,1.2860733711620287,1.479150845167585,1.2662010651329991,1.405472095313561,1.4450967368934255,1.3407676368046757,1.3707050336975657,1.3698088273977431,1.396765356036541,1.4803257871365194,1.5269912604348206,1.4936656068945886,1.501339395752645,1.491514513837814,1.4708107472254546,1.5262648773988032,1.1404162857342781,1.199641471864072,1.481306300311299,1.4778804084250126,1.499585659761897,1.2494462335968792,1.1565176781152402,1.50594312995731,1.4224700323287869,1.5508145949227479
农业银行,0.690044775226105,0.775470695146101,0.0,1.0060913762276755,0.9961904422134712,1.055028356137909,1.2496663477175494,1.3869630381858837,1.1745369266595924,1.4432242011173129,1.4197735546982357,1.291971501395609,1.3505654725897063,1.3518934979062622,1.310850231351136,1.4382771535064853,1.5022276396779304,1.4176353779116644,1.4198350182339943,1.436139962237419,1.4282941035014984,1.4898251715506428,1.1192903177500768,1.191948293510253,1.4749363703468727,1.497518268325538,1.4726579545759557,1.2265914084392269,1.248870246761688,1.4911233297115705,1.3833203941526664,1.5130912220302706
招商银行,0.8456352411969237,0.9488817316674142,1.0060913762276755,0.0,0.7592580515670866,0.8906144547719086,1.0660569236610298,1.258056922466296,1.1056387880905183,1.354298296742885,1.3541763959379443,1.1142996351153804,1.1795747412595414,1.2311138386148803,1.2577508556305776,1.4681162304959021,1.4288980766515607,1.3582980353705554,1.3014203023583777,1.2759704220584065,1.3588390933419023,1.385760706317179,1.0809456162203737,1.178607103356078,1.363664032006372,1.3138393928032297,1.3955907451185303,1.1647123259369696,1.2963472135926446,1.4529475484258454,1.2229426336837603,1.393777287328567
兴业银行,0.9087427859496507,0.9521446399707364,0.9961904422134712,0.7592580515670866,0.0,0.8503185228652576,1.067600584092395,1.2473941259049488,1.1004916655552113,1.32371739538579,1.3091065154367676,1.1481317129859756,1.2187654905274243,1.2380598998266736,1.2658217187320782,1.4220674641855662,1.4680163900223633,1.3262442845493259,1.3358803857082817,1.2628637728092047,1.3636547847297618,1.4001933853832855,1.1381421472360105,1.209686053123553,1.3945999730734884,1.3689167000480948,1.3594938474984086,1.1640146277687446,1.2583414967944164,1.4302524145800195,1.2297289569629708,1.3800274226864928
平安银行,0.9911705868300933,1.0344116416358697,1.055028356137909,0.8906144547719086,0.8503185228652576,0.0,0.9941034719107618,1.2059654998789642,1.0599850174964904,1.2264482574440485,1.2112367011925491,1.1715979189410268,1.143109927540297,1.18150864316662,1.2493536807262704,1.3336396740118368,1.3753038540434352,1.280610204654309,1.2801252822716365,1.3339303013390258,1.305747624212981,1.3877667728625431,1.1081074842108856,1.216820905765627,1.3022329413655886,1.3727572486916388,1.336228318909769,1.1903716148613646,1.2399647328043255,1.385260671541552,1.1565128532390594,1.303994513080215
中国平安,1.2166294320817452,1.2860733711620287,1.2496663477175494,1.0660569236610298,1.067600584092395,0.9941034719107618,0.0,0.8144159409273779,0.6546694113812352,1.1476825964522281,1.1191799787144618,0.9531658436654041,0.9648198613530957,1.1090707649527811,1.0542381208305949,1.2314106695873894,1.2112976847231365,1.1376748105011723,1.1018811681717335,1.1373020382878285,1.1816116968088632,1.2638162863142217,1.2498554004456688,1.2941126613946843,1.2521571740554538,1.2545929119050583,1.257762837308477,1.1028661444804302,1.3288860148219372,1.326391949115738,0.910095389473397,1.0777089062711482
中信证券,1.4272038761392123,1.479150845167585,1.3869630381858837,1.258056922466296,1.2473941259049488,1.2059654998789642,0.8144159409273779,0.0,0.8161287097832747,1.0825604470148618,1.0453110120697877,1.0344875015197985,1.040852434112014,1.174571053699503,1.0845671416429106,1.2305962641362111,1.1171127498834659,1.1029736621655442,1.032417736149006,1.0207098753735655,1.0181888312751435,1.1002321783377076,1.3480752636082867,1.375623283557426,1.173607454048907,1.1616828374493595,1.1433635036643877,1.2417237583979623,1.397866828144022,1.0485646432215563,0.6702320038178661,0.7245603432388639
中国人寿,1.2135739853661467,1.2662010651329991,1.1745369266595924,1.1056387880905183,1.1004916655552113,1.0599850174964904,0.6546694113812352,0.8161287097832747,0.0,1.1712630509004756,1.1080484512571493,0.9638543275400387,0.9870576530719741,1.0943697504494858,1.0238044458671511,1.2384320203054653,1.2296649958055257,1.1397132603888769,1.1042313459101185,1.1217112525002482,1.1574788332494683,1.2547993533646031,1.2001840067479088,1.2335310586839507,1.2620110517877035,1.2728561800988885,1.2582584537646264,1.1315214533733067,1.3053989392970125,1.2382740650735347,0.8955723921064636,1.052460233257288
万科A,1.3990950226540195,1.405472095313561,1.4432242011173129,1.354298296742885,1.32371739538579,1.2264482574440485,1.1476825964522281,1.0825604470148618,1.1712630509004756,0.0,0.6548202314748485,1.1141845695801922,1.053197035744046,1.1968013074176853,1.1228185874328467,1.2667707932352352,1.2507121303602546,1.2011516658743648,1.2261040535612913,1.2138459456558461,1.255950271327042,1.2788552766782513,1.3634415326132416,1.3556358895681277,1.3150656296201002,1.161056946520374,1.0836447298695535,1.276817799370154,1.3422119201967488,1.310466244079567,1.0782347575290832,1.0791427049358933
保利发展,1.428328443519326,1.4450967368934255,1.4197735546982357,1.3541763959379443,1.3091065154367676,1.2112367011925491,1.1191799787144618,1.0453110120697877,1.1080484512571493,0.6548202314748485,0.0,1.103839617132268,1.0294423732782922,1.1016006201347968,0.9942867199301082,1.2860216159719595,1.3360030472736306,1.1698109949529927,1.245540132589326,1.2250717018913404,1.2189630640565277,1.3832689720397728,1.3569146388440767,1.290296987053021,1.2621529707968078,1.1827128313317836,1.0223710108854516,1.2504785726315932,1.3345023711422856,1.280389200573083,1.0483897018252049,1.0620837033557171
贵州茅台,1.2732230511285458,1.3407676368046757,1.291971501395609,1.1142996351153804,1.1481317129859756,1.1715979189410268,0.9531658436654041,1.0344875015197985,0.9638543275400387,1.1141845695801922,1.103839617132268,0.0,0.5980145450037292,0.9235230804345025,0.9306360328889971,1.2582204562158699,1.275545877316209,1.1794276943285487,1.1063280753806908,1.0176146595138418,1.2062506350247286,1.3353602544690777,1.2267964190453966,1.2518941405396005,1.3336624657255138,1.188775231690845,1.151804351351293,1.1042502786675417,1.253745850170103,1.3251036097127735,0.9859454166005474,1.1650318548229277
