code,name,category
sh.601398,工商银行,权益
sh.600036,招商银行,权益
sh.601318,中国平安,权益
sh.600519,贵州茅台,权益
sz.300750,宁德时代,权益
sz.002594,比亚迪,权益
sh.601857,中国石油,权益
sh.601899,紫金矿业,权益
sh.000013,企业债指数,固定收益
sh511010,国债ETF,固定收益
sh511260,十年国债ETF,固定收益
sh511270,短债ETF,固定收益
sh511060,五年地债ETF,固定收益
sh511020,活跃国债ETF,固定收益
sh510300,沪深300ETF,权益
sh510500,中证500ETF,权益
sz159915,创业板ETF,权益
sh510050,上证50ETF,权益
sh512800,银行ETF,权益
sh512880,证券ETF,权益
sh512010,医药ETF,权益
sh510880,红利ETF,权益
sh518880,黄金ETF,商品
sz159981,能源化工ETF,商品
sz159985,豆粕ETF,商品
T0,十年国债期货,固定收益
TF0,五年国债期货,固定收益
IF0,沪深300股指期货,衍生品
IC0,中证500股指期货,衍生品
IH0,上证50股指期货,衍生品
