,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
工商银行,1.0,0.5352810590986423,0.3182392022599386,0.15834602701787234,-0.02159657263158404,-0.038608181399528284,0.43089650965782955,0.054146269375753314,0.05326821305408088,-0.02673682030189591,7.182166983515117e-05,-0.0019256356250157186,-0.013391056825141887,0.03512666882748985,0.1640566406357202,-0.07432052965557873,-0.09970726713193863,0.3383915807131323,0.6935208546937556,0.06617135759779545,-0.06964031391873222,0.5571399492752506,0.020263399109852913,0.0046626234129166135,0.005359982674853029,-0.0005626125891014924,0.003826143654029072,0.15259547752962824,-0.07555674751881793,0.3139986432141759
招商银行,0.5352810590986423,1.0,0.6621393540803887,0.49330297309389115,0.32681526918889786,0.30922544719260403,0.3906563087996356,0.2408791895966762,0.09526606878958742,-0.18385073934696003,-0.18298983236066785,-0.1659903008301558,-0.1336416269905777,-0.14669618597604828,0.5585182166233226,0.28807149534835313,0.30080266917957577,0.6823621994849804,0.7345573714918543,0.41654504760262884,0.2812249151948437,0.5213600927337653,0.043792720217382924,0.18999754833206126,0.035389044173439084,-0.20278257763733912,-0.1803720088938653,0.5432392625530925,0.2709843457543576,0.6465573349740267
中国平安,0.3182392022599386,0.6621393540803887,1.0,0.5677208996758424,0.4552787055597473,0.44615995844542855,0.3041196004033286,0.3026768731923755,0.11249440399333792,-0.18731005433158746,-0.21952317040817804,-0.21545543607024822,-0.1428735278983351,-0.1943825063879739,0.7271522753281282,0.5152473248379132,0.5228795241833704,0.7942520543091197,0.5520580644647618,0.6440855167386813,0.48712636715550794,0.4957404945564746,0.007590661935071267,0.19600559230137357,0.05662439074429778,-0.20940575630825772,-0.1636471569599496,0.7086439990727562,0.4929132561714046,0.7702280444523819
贵州茅台,0.15834602701787234,0.49330297309389115,0.5677208996758424,1.0,0.48014117805462214,0.4455600918288814,0.18804559267905946,0.20708144710850881,-0.0043586431868582985,-0.19158587140125505,-0.23152074602818043,-0.22189207964984892,-0.17370379134124422,-0.23725332093318377,0.6611819361111555,0.4632939592844897,0.4903265354782585,0.7402010886941002,0.362154863367671,0.48720546234007606,0.5251611264026668,0.34929609242881887,-0.03966324207254265,0.24491553394680676,0.12957140057783437,-0.2250589381210532,-0.1712333772931808,0.6728276054530667,0.44814016137983687,0.7452310647106346
宁德时代,-0.02159657263158404,0.32681526918889786,0.4552787055597473,0.48014117805462214,1.0,0.6144869581477778,0.08945048844327004,0.24482609645620534,0.05049015237775902,-0.1869694962632837,-0.20963819682349344,-0.16519587481086936,-0.08359889368348067,-0.15925704453351175,0.6627006476700311,0.5471608637726261,0.7520186270547923,0.5722217686868968,0.20398696510132752,0.4798137228159289,0.5856622692297275,0.16597997644056475,0.021153006612735375,0.22795433613208313,0.06978192581510134,-0.17504234409474487,-0.1470058510562955,0.6486582116685886,0.525078773388654,0.5587790577983056
比亚迪,-0.038608181399528284,0.30922544719260403,0.44615995844542855,0.4455600918288814,0.6144869581477778,1.0,0.09723877541982326,0.24882866543285154,0.08474748614896822,-0.17813950889759544,-0.21008043413095223,-0.15016504372664174,-0.09222753771789656,-0.18767756691266796,0.6006370967211899,0.5386514055642059,0.6088305741997894,0.5313499315536713,0.16353428037340248,0.4495539214875116,0.49410804154768134,0.16024527370739963,0.01883062100514476,0.2008806171573526,0.07943563424933885,-0.19819752192550014,-0.14763009144492215,0.5981636369878152,0.5273509389919927,0.5309994337914719
中国石油,0.43089650965782955,0.3906563087996356,0.3041196004033286,0.18804559267905946,0.08945048844327004,0.09723877541982326,1.0,0.3928482710864504,0.07500673183984774,-0.09058589370827393,-0.09462526607274617,-0.09768598464464182,-0.06012639632016053,-0.0444879916776652,0.3260997120359639,0.18060334159174526,0.11987001658887898,0.41919131621891126,0.44391034268137997,0.16982307482799058,0.10750191777322472,0.6090395402189785,0.12314317054915733,0.28602962588752884,0.03571960572476315,-0.1187566700067381,-0.08901320955997571,0.31084045696554785,0.16225170885809787,0.40029450517928206
紫金矿业,0.054146269375753314,0.2408791895966762,0.3026768731923755,0.20708144710850881,0.24482609645620534,0.24882866543285154,0.3928482710864504,1.0,0.036995343564561314,-0.13174302023608514,-0.14917364732206823,-0.1037882411595173,-0.08123206641830705,-0.10013434798012946,0.4627175163734144,0.38894748527181733,0.3362247061645711,0.46366140471997314,0.20278381914047056,0.27093895568694176,0.26557371340741115,0.35475174692649725,0.46762429895125307,0.27985885933425175,0.03209509260344695,-0.1361202880415923,-0.08706138146762105,0.46271619248227136,0.3764432952275389,0.4611956904382759
企业债指数,0.05326821305408088,0.09526606878958742,0.11249440399333792,-0.0043586431868582985,0.05049015237775902,0.08474748614896822,0.07500673183984774,0.036995343564561314,1.0,-0.01722784153949059,0.03309591209607796,0.02486314214893838,0.017630505606267066,0.02461562018478334,0.0866968525261937,0.046132225068456975,0.06536343868139534,0.0805678981432457,0.06775408133412016,0.02832850743394491,0.07728597250161694,0.03130830820770931,0.020557675671838336,-0.06970792623832037,0.05025127352671532,0.021830019858086698,-0.028845087544960634,0.07850827150511011,0.024350775804287014,0.06841080926591223
国债ETF,-0.02673682030189591,-0.18385073934696003,-0.18731005433158746,-0.19158587140125505,-0.1869694962632837,-0.17813950889759544,-0.09058589370827393,-0.13174302023608514,-0.01722784153949059,1.0,0.8453498068679701,0.6246853516185068,0.5405800426844403,0.7566656130396422,-0.28303390690933183,-0.2757159589883467,-0.28791325073007973,-0.27624998836362014,-0.117332643782234,-0.24921223645077678,-0.23970171381958408,-0.14351901065259626,-0.0014825805443807935,-0.18680002765992337,0.004537339961844006,0.7346858701655491,0.7338990576963331,-0.2929610644773762,-0.28105186872470994,-0.28004035275551253
