,类别,年化收益(%),年化波动(%),偏度,峰度
工商银行,权益,27.1,17.91,0.04,2.706
招商银行,权益,9.62,21.86,0.313,2.719
中国平安,权益,17.89,25.48,0.706,4.339
贵州茅台,权益,-5.48,21.43,0.707,5.365
宁德时代,权益,19.62,36.93,0.635,5.127
比亚迪,权益,5.29,31.61,0.327,2.711
中国石油,权益,31.6,28.8,0.305,4.461
紫金矿业,权益,43.29,34.18,0.069,1.747
企业债指数,固定收益,4.05,0.21,1.49,4.183
国债ETF,固定收益,3.06,1.56,-0.4,4.276
十年国债ETF,固定收益,4.15,2.3,-0.581,4.589
短债ETF,固定收益,3.08,2.62,-1.084,6.011
五年地债ETF,固定收益,1.7,1.92,-1.83,8.402
活跃国债ETF,固定收益,3.61,2.09,-1.0,9.533
沪深300ETF,权益,6.84,16.05,0.46,5.846
中证500ETF,权益,7.93,20.47,0.42,5.831
创业板ETF,权益,9.66,28.01,0.577,7.435
上证50ETF,权益,5.91,15.26,0.487,5.509
银行ETF,权益,9.52,18.37,-2.511,30.592
证券ETF,权益,11.77,26.73,0.965,5.698
医药ETF,权益,-9.11,22.79,0.465,4.781
红利ETF,权益,4.4,14.37,-0.335,6.27
黄金ETF,商品,30.0,14.48,-0.217,4.114
能源化工ETF,商品,-5.12,16.93,-0.167,2.406
豆粕ETF,商品,-1.9,17.16,0.086,1.575
十年国债期货,固定收益,2.59,2.47,-0.657,2.628
五年国债期货,固定收益,1.58,1.73,-0.299,1.742
沪深300股指期货,衍生品,7.11,17.09,0.471,5.731
中证500股指期货,衍生品,6.93,21.86,0.439,5.474
上证50股指期货,衍生品,5.53,16.19,0.572,6.109
