,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
工商银行,0.0,0.9640735873379767,1.1676992744196268,1.2974235800093412,1.4294030730564309,1.4412551345265197,1.0668678365591218,1.3753935659470322,1.376031821540417,1.4329946408147491,1.4141627758714093,1.415574537511194,1.4236509802793254,1.3891532177355457,1.2930145856596358,1.4658243616856548,1.4830423238275694,1.1503116267228353,0.7829165285089393,1.366622583160548,1.4626279868228504,0.9411270378910059,1.3998118451350146,1.4109127376185129,1.4104183899291352,1.4146113336101203,1.411505477386447,1.3018483187148737,1.4666674793686658,1.1713251954822999
招商银行,0.9640735873379767,0.0,0.8220226832875249,1.006674750757273,1.1603316170915123,1.1753931706517577,1.10394174773886,1.2321694773068548,1.3451646227955987,1.538733725728373,1.5381741334196644,1.5270823820803878,1.5057500635833143,1.5143950514816458,0.9396614106971484,1.193254796471941,1.1825373827667558,0.7970417812323511,0.7286187322710633,1.080236041240405,1.1989788028194295,0.9784067735520178,1.3829007771945296,1.2727941323465777,1.388964330590646,1.5509884445974051,1.5364712876548428,0.9557831735774673,1.207489672208953,0.8407647293101362
中国平安,1.1676992744196268,0.8220226832875249,0.0,0.9298162187487994,1.0437636652425228,1.0524638155818673,1.179729121109309,1.1809514188209644,1.332295459728556,1.5409802427880688,1.561744646482374,1.5591378618135399,1.5118687296841185,1.5455630083487206,0.7387120205761807,0.984634627831143,0.9768525741550048,0.6414794551517301,0.946511421521408,0.8436995712471574,1.0127918175464217,1.0042504721866208,1.4088359294573152,1.2680649886331745,1.373590629886286,1.5552528773857053,1.5255472178598404,0.7633557505216605,1.007061809253628,0.6778966817260844
贵州茅台,1.2974235800093412,1.006674750757273,0.9298162187487994,0.0,1.019665456848841,1.053033625456584,1.2743268084137134,1.2593002444941326,1.4172922374632964,1.5437524875453674,1.569408006879142,1.5632607457809775,1.5321251850558715,1.573056464932638,0.8231865692403448,1.0360560223419488,1.009627123765741,0.720831341307937,1.1294645958438263,1.012713718342873,0.974514108258401,1.1407926258274823,1.4419869916698573,1.2288893083212933,1.3194154762031296,1.565285237981278,1.5305119256596342,0.8089158108813713,1.0505806381427016,0.7138192142123457
宁德时代,1.4294030730564309,1.1603316170915123,1.0437636652425228,1.019665456848841,0.0,0.8780809095433316,1.3494810199159748,1.2289620852929473,1.3780492354210288,1.5407592260072849,1.5554023253316125,1.5265620687092085,1.4721405460644583,1.5226667688851108,0.8213395793823269,0.9516713048394114,0.7042462253291922,0.9249629520290024,1.2617551544564203,1.019986546170165,0.9103161327475994,1.2915262471660693,1.39917618146341,1.242614714115294,1.3639780600764067,1.5329985936684645,1.5145995187218932,0.8382622362141949,0.9745986113383766,0.939383779082537
比亚迪,1.4412551345265197,1.1753931706517577,1.0524638155818673,1.053033625456584,0.8780809095433316,0.0,1.343697305631128,1.225700888934285,1.3529615765800829,1.5350175952721816,1.5556866227688353,1.5166839115165967,1.4779902149323563,1.5412187170630054,0.8937146113595884,0.9605712825561611,0.8844992094967757,0.9681426221857281,1.2934185089340553,1.0492340811396552,1.0058747023882435,1.29595889309237,1.4008350216887464,1.2642146833846277,1.3568819887894903,1.5480294066493052,1.515011611470303,0.8964779562400682,0.9722644300888594,0.9685045856458586
中国石油,1.0668678365591218,1.10394174773886,1.179729121109309,1.2743268084137134,1.3494810199159748,1.343697305631128,0.0,1.101954381009985,1.3601421015174497,1.4768790700042262,1.4796116153050072,1.4816787672398102,1.4561087846175234,1.4453290225257813,1.160948136622852,1.2801536301618293,1.3267478912070076,1.0777835439280827,1.0545991250884101,1.2885471859206472,1.336037486170785,0.884262924452927,1.3242785427928996,1.1949647476913043,1.3887263188081638,1.4958319892332415,1.4758138158724328,1.174018349971117,1.2944097428109091,1.0951762367954465
紫金矿业,1.3753935659470322,1.2321694773068548,1.1809514188209644,1.2593002444941326,1.2289620852929473,1.225700888934285,1.101954381009985,0.0,1.3878073759967113,1.5044886308883063,1.5160301100717415,1.4857915339370575,1.4705319217332937,1.4833302720433703,1.0366122550178398,1.1054885930919258,1.1521938151504103,1.0357013037358085,1.2627083438858948,1.207527262063311,1.2119622820802542,1.136000222775949,1.0318679189205824,1.200117611457934,1.391333825792037,1.5073952952305458,1.4744906791618733,1.0366135321494976,1.1167423201190694,1.0380792932736151
企业债指数,1.376031821540417,1.3451646227955987,1.332295459728556,1.4172922374632964,1.3780492354210288,1.3529615765800829,1.3601421015174497,1.3878073759967113,0.0,1.4263434660273735,1.3906143159797557,1.3965220068807092,1.401691474179488,1.3966992373558573,1.35151999428333,1.38120800383689,1.3672136346003902,1.3560472719317378,1.3654639641278563,1.394038372905176,1.358465330804127,1.391899200224133,1.3996016035487826,1.4626742126928474,1.378222570177462,1.39869223215253,1.4344651181154324,1.357565268040465,1.3968888461117535,1.3649829235079007
国债ETF,1.4329946408147491,1.538733725728373,1.5409802427880688,1.5437524875453674,1.5407592260072849,1.5350175952721816,1.4768790700042262,1.5044886308883063,1.4263434660273735,0.0,0.5561478097269285,0.866388652258896,0.9585613776024566,0.6976164948743081,1.6018950695406562,1.5973202302533744,1.6049381612573612,1.5976545235836315,1.4948796899966459,1.5806405261480403,1.5746121514960971,1.5122956130681569,1.4152615168543097,1.540649231759081,1.4110015308554105,0.728442351644179,0.7295216820680066,1.6080802619753631,1.6006572829464212,1.6000252202734258
十年国债ETF,1.4141627758714093,1.5381741334196644,1.561744646482374,1.569408006879142,1.5554023253316125,1.5556866227688353,1.4796116153050072,1.5160301100717415,1.3906143159797557,0.5561478097269285,0.0,0.8068286909985918,0.969969995605069,0.6325177142044209,1.6311720801662597,1.6252614154230425,1.6314221935711368,1.621702158400559,1.486054276053495,1.6001631588670269,1.5906970029606111,1.5118789604822729,1.4166530845625092,1.5491500526378565,1.430405592654209,0.6817250301121461,0.7800928080187176,1.6371924286134552,1.6242941883229425,1.627250698367273
短债ETF,1.415574537511194,1.5270823820803878,1.5591378618135399,1.5632607457809775,1.5265620687092085,1.5166839115165967,1.4816787672398102,1.4857915339370575,1.3965220068807092,0.866388652258896,0.8068286909985918,0.0,0.6861209243743825,0.8655670164208311,1.6155337922470274,1.613430594713461,1.6093528811913325,1.6058459768957527,1.4915162189147704,1.6038120623497338,1.5953690863925933,1.503151483489071,1.4013631251485907,1.5265253494665445,1.433131166970654,0.8882946147160115,0.9390686642022955,1.6159292812014014,1.6119524865504364,1.6035308549005118
五年地债ETF,1.4236509802793254,1.5057500635833143,1.5118687296841185,1.5321251850558715,1.4721405460644583,1.4779902149323563,1.4561087846175234,1.4705319217332937,1.401691474179488,0.9585613776024566,0.969969995605069,0.6861209243743825,0.0,1.0172370127784418,1.5465061658400252,1.5359613371769383,1.5275495688623881,1.5462514388942457,1.482762396023048,1.5254179002278696,1.515454230086363,1.489947416774487,1.412970984453607,1.5347501790967644,1.4278065500102035,0.9736131299263009,0.9709799390078689,1.5502932337541262,1.5409368072788578,1.5498741200715282
活跃国债ETF,1.3891532177355457,1.5143950514816458,1.5455630083487206,1.573056464932638,1.5226667688851108,1.5412187170630054,1.4453290225257813,1.4833302720433703,1.3966992373558573,0.6976164948743081,0.6325177142044209,0.8655670164208311,1.0172370127784418,0.0,1.6085598134150614,1.6152706382457642,1.6034325673438379,1.6040007799529752,1.4658245834665231,1.582804805622821,1.588760347364391,1.4993593807940082,1.3988430816626705,1.52036398238738,1.4360388628371754,0.7975654404276427,0.8553100282614379,1.6170306412259985,1.6173428812984962,1.6124029274016685
沪深300ETF,1.2930145856596358,0.9396614106971484,0.7387120205761807,0.8231865692403448,0.8213395793823269,0.8937146113595884,1.160948136622852,1.0366122550178398,1.35151999428333,1.6018950695406562,1.6311720801662597,1.6155337922470274,1.5465061658400252,1.6085598134150614,0.0,0.5313792517133148,0.5066301849475774,0.3983298235190987,1.0507341986494234,0.6308794460362749,0.7176179360461773,0.9970676975069589,1.3664101755951135,1.1733725403510633,1.3561616529243117,1.6181535291668394,1.5769654897064183,0.2138797626739897,0.5753352470827009,0.3899381150747465
中证500ETF,1.4658243616856548,1.193254796471941,0.984634627831143,1.0360560223419488,0.9516713048394114,0.9605712825561611,1.2801536301618293,1.1054885930919258,1.38120800383689,1.5973202302533744,1.6252614154230425,1.613430594713461,1.5359613371769383,1.6152706382457642,0.5313792517133148,0.0,0.47669274837139547,0.7683189595420872,1.2676335358821607,0.6754031285548601,0.7242656529363389,1.127446736667313,1.3625602469091491,1.1984269152623495,1.3637197901104925,1.6113914371224702,1.577249082913144,0.5271687972640687,0.23236510281766137,0.7426467627210541
创业板ETF,1.4830423238275694,1.1825373827667558,0.9768525741550048,1.009627123765741,0.7042462253291922,0.8844992094967757,1.3267478912070076,1.1521938151504103,1.3672136346003902,1.6049381612573612,1.6314221935711368,1.6093528811913325,1.5275495688623881,1.6034325673438379,0.5066301849475774,0.47669274837139547,0.0,0.7708465600751654,1.2798606188372803,0.6971932720132398,0.6597111628557528,1.2436399691186033,1.3990684519547256,1.198741152810113,1.363191500707517,1.6098372329464876,1.5801434262330616,0.5240842922312782,0.5299391721274122,0.7671897677476618
上证50ETF,1.1503116267228353,0.7970417812323511,0.6414794551517301,0.720831341307937,0.9249629520290024,0.9681426221857281,1.0777835439280827,1.0357013037358085,1.3560472719317378,1.5976545235836315,1.621702158400559,1.6058459768957527,1.5462514388942457,1.6040007799529752,0.3983298235190987,0.7683189595420872,0.7708465600751654,0.0,0.9277309405953159,0.7478259885394815,0.8189772916828539,0.9149662186955887,1.3647899512464823,1.1860156993159259,1.3488429541266733,1.6163322795262782,1.5740636014497553,0.39911007966426165,0.7948813109522823,0.24258894448541993
银行ETF,0.7829165285089393,0.7286187322710633,0.946511421521408,1.1294645958438263,1.2617551544564203,1.2934185089340553,1.0545991250884101,1.2627083438858948,1.3654639641278563,1.4948796899966459,1.486054276053495,1.4915162189147704,1.482762396023048,1.4658245834665231,1.0507341986494234,1.2676335358821607,1.2798606188372803,0.9277309405953159,0.0,1.1834453005342491,1.2716963012800235,0.874278789992895,1.3584430418976436,1.3191647899819192,1.413997838843631,1.495989059556135,1.4807186266751426,1.0660687590304165,1.276091278774901,0.9589596898095079
证券ETF,1.366622583160548,1.080236041240405,0.8436995712471574,1.012713718342873,1.019986546170165,1.0492340811396552,1.2885471859206472,1.207527262063311,1.394038372905176,1.5806405261480403,1.6001631588670269,1.6038120623497338,1.5254179002278696,1.582804805622821,0.6308794460362749,0.6754031285548601,0.6971932720132398,0.7478259885394815,1.1834453005342491,0.0,0.8849726318914124,1.1428595891822955,1.4249060622067349,1.2214981833999157,1.3722810134748789,1.5934223040338507,1.5632146479260705,0.6366891766468032,0.6965138568534057,0.7457803684619262
医药ETF,1.4626279868228504,1.1989788028194295,1.0127918175464217,0.974514108258401,0.9103161327475994,1.0058747023882435,1.336037486170785,1.2119622820802542,1.358465330804127,1.5746121514960971,1.5906970029606111,1.5953690863925933,1.515454230086363,1.588760347364391,0.7176179360461773,0.7242656529363389,0.6597111628557528,0.8189772916828539,1.2716963012800235,0.8849726318914124,0.0,1.2367690723297686,1.4044336946866844,1.253308122672978,1.3335866513510615,1.5704721255740346,1.5539626157903184,0.727149065566711,0.7653726894674989,0.8284374796899072
红利ETF,0.9411270378910059,0.9784067735520178,1.0042504721866208,1.1407926258274823,1.2915262471660693,1.29595889309237,0.884262924452927,1.136000222775949,1.391899200224133,1.5122956130681569,1.5118789604822729,1.503151483489071,1.489947416774487,1.4993593807940082,0.9970676975069589,1.127446736667313,1.2436399691186033,0.9149662186955887,0.874278789992895,1.1428595891822955,1.2367690723297686,0.0,1.3449674745959046,1.2459703967804918,1.3905197648233412,1.5131342219347095,1.4800882456827669,1.0132661783767172,1.144495272625985,0.9284018777292067
黄金ETF,1.3998118451350146,1.3829007771945296,1.4088359294573152,1.4419869916698573,1.39917618146341,1.4008350216887464,1.3242785427928996,1.0318679189205824,1.3996016035487826,1.4152615168543097,1.4166530845625092,1.4013631251485907,1.412970984453607,1.3988430816626705,1.3664101755951135,1.3625602469091491,1.3990684519547256,1.3647899512464823,1.3584430418976436,1.4249060622067349,1.4044336946866844,1.3449674745959046,0.0,1.394162874621964,1.4177778610369496,1.3745677454878813,1.3761014897990607,1.3645810936249958,1.371124259489724,1.359673833483305
能源化工ETF,1.4109127376185129,1.2727941323465777,1.2680649886331745,1.2288893083212933,1.242614714115294,1.2642146833846277,1.1949647476913043,1.200117611457934,1.4626742126928474,1.540649231759081,1.5491500526378565,1.5265253494665445,1.5347501790967644,1.52036398238738,1.1733725403510633,1.1984269152623495,1.198741152810113,1.1860156993159259,1.3191647899819192,1.2214981833999157,1.253308122672978,1.2459703967804918,1.394162874621964,0.0,1.3228204219425694,1.5550300593269386,1.537652844186654,1.1668284268780493,1.2032770562856403,1.187429160053162
豆粕ETF,1.4104183899291352,1.388964330590646,1.373590629886286,1.3194154762031296,1.3639780600764067,1.3568819887894903,1.3887263188081638,1.391333825792037,1.378222570177462,1.4110015308554105,1.430405592654209,1.433131166970654,1.4278065500102035,1.4360388628371754,1.3561616529243117,1.3637197901104925,1.363191500707517,1.3488429541266733,1.413997838843631,1.3722810134748789,1.3335866513510615,1.3905197648233412,1.4177778610369496,1.3228204219425694,0.0,1.409527640347471,1.4153398753469955,1.3495584380434422,1.3660670135757758,1.3415777271152212
十年国债期货,1.4146113336101203,1.5509884445974051,1.5552528773857053,1.565285237981278,1.5329985936684645,1.5480294066493052,1.4958319892332415,1.5073952952305458,1.39869223215253,0.728442351644179,0.6817250301121461,0.8882946147160115,0.9736131299263009,0.7975654404276427,1.6181535291668394,1.6113914371224702,1.6098372329464876,1.6163322795262782,1.495989059556135,1.5934223040338507,1.5704721255740346,1.5131342219347095,1.3745677454878813,1.5550300593269386,1.409527640347471,0.0,0.4633387396720471,1.623568073245218,1.6098917857523003,1.6154185728860007
五年国债期货,1.411505477386447,1.5364712876548428,1.5255472178598404,1.5305119256596342,1.5145995187218932,1.515011611470303,1.4758138158724328,1.4744906791618733,1.4344651181154324,0.7295216820680066,0.7800928080187176,0.9390686642022955,0.9709799390078689,0.8553100282614379,1.5769654897064183,1.577249082913144,1.5801434262330616,1.5740636014497553,1.4807186266751426,1.5632146479260705,1.5539626157903184,1.4800882456827669,1.3761014897990607,1.537652844186654,1.4153398753469955,0.4633387396720471,0.0,1.5829493138570179,1.5765067065128429,1.5707574776950648
沪深300股指期货,1.3018483187148737,0.9557831735774673,0.7633557505216605,0.8089158108813713,0.8382622362141949,0.8964779562400682,1.174018349971117,1.0366135321494976,1.357565268040465,1.6080802619753631,1.6371924286134552,1.6159292812014014,1.5502932337541262,1.6170306412259985,0.2138797626739897,0.5271687972640687,0.5240842922312782,0.39911007966426165,1.0660687590304165,0.6366891766468032,0.727149065566711,1.0132661783767172,1.3645810936249958,1.1668284268780493,1.3495584380434422,1.623568073245218,1.5829493138570179,0.0,0.5297636692726422,0.3422398136854036
