date,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
2023-01-03,3.62264982,31.3843733,40.6991256,1566.90638721,204.07511892,84.39109184,4.27199193,9.90492867,269.2831,129.067,119.34,107.184,101.434,106.901,3.949,5.97,2.289,2.651,1.083,0.864,0.477,2.876,3.987,1.521,2.015,100.37,101.065,3894.2,5958.8,2648.6
2023-01-04,3.66467592,32.27796775,41.89031952,1562.37778221,201.12638953,83.9439953,4.25493807,9.6885817,269.3536,129.288,119.439,107.366,101.496,107.059,3.954,5.968,2.267,2.66,1.103,0.866,0.48,2.897,4.002,1.5,1.974,100.53,101.17,3898.0,5957.0,2654.2
2023-01-05,3.63946026,32.1526975,42.23559312,1631.203521,213.43458503,85.88141364,4.24641114,9.77323921,269.4029,129.221,119.441,107.385,101.536,107.11,4.029,6.027,2.33,2.71,1.104,0.883,0.494,2.902,4.001,1.483,1.954,100.435,101.15,3974.4,6019.4,2705.6
2023-01-06,3.64786548,32.0524813,42.93477216,1633.71236817,218.22692498,86.2442746,4.23788421,9.81086477,269.4701,128.957,119.291,107.453,101.511,106.942,4.045,6.04,2.35,2.725,1.101,0.884,0.491,2.897,3.972,1.49,1.938,100.35,101.06,3990.8,6024.2,2719.4
2023-01-09,3.63946026,32.403238,43.94469744,1667.6135052,218.1954998,85.33064254,4.24641114,10.76091016,269.5707,128.96,119.349,107.464,101.407,106.931,4.07,6.052,2.365,2.75,1.102,0.899,0.495,2.899,4.015,1.474,1.949,100.355,101.03,4011.6,6033.6,2743.4
2023-01-10,3.6142446,31.94391375,42.47728464,1679.61430845,226.261296,86.37062797,4.22935728,10.73269099,269.5601,128.885,119.256,107.474,101.188,106.933,4.076,6.067,2.401,2.742,1.09,0.898,0.502,2.883,4.013,1.479,1.929,100.065,100.84,4018.0,6051.8,2735.4
2023-01-11,3.62264982,32.5034542,43.7634288,1671.00995895,224.09295858,87.14818717,4.23788421,10.80794211,269.6254,128.75,119.12,107.279,101.205,106.673,4.076,6.039,2.374,2.748,1.098,0.892,0.499,2.905,4.025,1.488,1.95,100.18,100.915,4017.2,6025.2,2739.2
2023-01-12,3.6142446,32.61202175,43.94469744,1661.092314,227.0469255,89.8404859,4.29757272,10.74209738,269.6472,128.785,119.152,107.174,101.244,106.75,4.082,6.033,2.382,2.754,1.1,0.9,0.496,2.892,4.019,1.503,1.979,100.19,100.97,4024.6,6021.6,2746.2
2023-01-13,3.64786548,33.1214541,45.1876824,1709.095527,230.1894435,90.25518414,4.34020737,10.86438045,269.7057,128.813,119.133,107.194,101.255,106.807,4.144,6.084,2.417,2.799,1.111,0.918,0.511,2.907,4.027,1.524,2.0,100.025,100.9,4090.8,6082.0,2796.0
2023-01-16,3.64786548,33.79791345,44.96325456,1732.5537009,233.92380239,88.7065454,4.35726123,10.82675489,269.7711,128.71,118.913,107.231,101.591,106.71,4.143,6.143,2.462,2.847,1.113,0.947,0.531,2.788,4.05,1.509,1.989,99.8,100.705,4149.6,6132.0,2843.6
2023-01-17,3.63946026,33.9732918,44.453976,1728.115668,233.38957433,87.47217017,4.33168044,10.61981431,269.8082,128.719,118.942,107.23,101.614,106.699,4.139,6.151,2.47,2.838,1.112,0.959,0.528,2.78,4.066,1.524,1.98,99.83,100.745,4147.0,6137.2,2832.6
2023-01-18,3.64786548,33.7227513,44.4971352,1714.529853,234.9032205,87.151427,4.34020737,10.71387821,269.8621,128.7,118.866,107.235,101.577,106.711,4.13,6.175,2.468,2.819,1.113,0.955,0.523,2.783,4.056,1.56,2.013,99.785,100.715,4133.4,6153.4,2809.8
2023-01-19,3.63946026,33.94823775,44.72156304,1702.94568141,233.99712781,87.6374015,4.3487343,10.89259962,269.9348,128.729,118.829,107.251,101.514,106.661,4.158,6.232,2.496,2.829,1.114,0.975,0.534,2.789,4.068,1.564,1.982,99.85,100.735,4158.0,6211.2,2818.4
2023-01-20,3.63946026,34.28229175,44.9718864,1684.65011721,236.736356,87.49808881,4.42547667,11.20301049,269.9883,128.854,118.969,107.449,101.55,106.701,4.181,6.277,2.507,2.848,1.115,0.969,0.532,2.817,4.101,1.591,1.963,99.695,100.64,4180.4,6244.2,2837.2
