,degree,betweenness,closeness,eigenvector
工商银行,0.13793103448275862,0.002892222719808926,0.3493975903614458,0.09570559293286189
招商银行,0.20689655172413793,0.04689239332096475,0.4603174603174603,0.22630542353305785
中国平安,0.1724137931034483,0.004990555421589905,0.4142857142857143,0.19129219208972517
贵州茅台,0.10344827586206896,0.0,0.3972602739726027,0.14144152762919673
宁德时代,0.13793103448275862,0.0008210180623973727,0.34523809523809523,0.10472672805631907
比亚迪,0.10344827586206896,0.0,0.3411764705882353,0.07962441373371243
中国石油,0.10344827586206896,0.0,0.32222222222222224,0.06719341044852484
紫金矿业,0.20689655172413793,0.09153538374597485,0.4915254237288136,0.2201541225288463
企业债指数,0.10344827586206896,0.0,0.37662337662337664,0.12171654127252582
国债ETF,0.13793103448275862,0.00465983113766365,0.30526315789473685,0.04157926691090143
十年国债ETF,0.20689655172413793,0.017672311268370385,0.3118279569892473,0.056289053023976424
短债ETF,0.13793103448275862,0.0008210180623973727,0.27884615384615385,0.028602155924968096
五年地债ETF,0.10344827586206896,0.0,0.2761904761904762,0.023363385335533324
活跃国债ETF,0.24137931034482757,0.11513802631413465,0.4027777777777778,0.12636329777297348
沪深300ETF,0.27586206896551724,0.047376043496733154,0.4603174603174603,0.27395615714446747
中证500ETF,0.1724137931034483,0.005336617405582922,0.35802469135802467,0.1450558363760329
创业板ETF,0.20689655172413793,0.006157635467980296,0.35365853658536583,0.13376643717923697
上证50ETF,0.41379310344827586,0.18257975604034715,0.5471698113207547,0.3791176168935407
银行ETF,0.24137931034482757,0.07908269891028515,0.453125,0.22296339144947497
证券ETF,0.10344827586206896,0.0,0.3972602739726027,0.13938702672786207
医药ETF,0.10344827586206896,0.0,0.3411764705882353,0.08543789209893073
红利ETF,0.1724137931034483,0.021399782483526322,0.4084507042253521,0.1474610362128596
黄金ETF,0.20689655172413793,0.17385110784125563,0.47540983606557374,0.16578785183043643
能源化工ETF,0.24137931034482757,0.10832344653157462,0.48333333333333334,0.2222108644006884
豆粕ETF,0.10344827586206896,0.0,0.42028985507246375,0.1458987875097344
十年国债期货,0.24137931034482757,0.11616920640935416,0.3670886075949367,0.07717688460420583
五年国债期货,0.1724137931034483,0.02466370520557713,0.37662337662337664,0.0933871789718224
沪深300股指期货,0.3793103448275862,0.22503588365657323,0.4915254237288136,0.3138760136567551
中证500股指期货,0.20689655172413793,0.04674693122968986,0.4461538461538462,0.1992414650571431
上证50股指期货,0.4482758620689655,0.3699726518692036,0.5918367346938775,0.41079002294525246
