,degree,betweenness,closeness,eigenvector
工商银行,0.06896551724137931,0.3793103448275862,0.1895424836601307,0.005097305067855621
招商银行,0.06896551724137931,0.5123152709359606,0.21481481481481482,0.016306197599320456
中国平安,0.06896551724137931,0.5172413793103449,0.21804511278195488,0.03169869590582198
贵州茅台,0.06896551724137931,0.06896551724137931,0.17791411042944785,0.050668292320696216
宁德时代,0.06896551724137931,0.06896551724137931,0.1457286432160804,0.30282652978688046
比亚迪,0.034482758620689655,0.0,0.14427860696517414,0.2570222072712654
中国石油,0.06896551724137931,0.1330049261083744,0.15675675675675677,0.0023091393601111115
紫金矿业,0.06896551724137931,0.06896551724137931,0.13744075829383887,0.0010588910806839029
企业债指数,0.034482758620689655,0.0,0.1277533039647577,0.11777421572022048
国债ETF,0.034482758620689655,0.0,0.13488372093023257,0.0008922980065955117
十年国债ETF,0.13793103448275862,0.31527093596059114,0.15508021390374332,0.002288908874087923
短债ETF,0.06896551724137931,0.06896551724137931,0.13615023474178403,0.0010524570613565738
五年地债ETF,0.034482758620689655,0.0,0.12033195020746888,0.00041048090137125044
活跃国债ETF,0.06896551724137931,0.33990147783251234,0.17159763313609466,0.0028759515411446016
沪深300ETF,0.06896551724137931,0.41379310344827586,0.18238993710691823,0.32253261241911124
中证500ETF,0.06896551724137931,0.06896551724137931,0.1457286432160804,0.3028265297868804
创业板ETF,0.20689655172413793,0.42610837438423643,0.1676300578034682,0.6608673220675441
上证50ETF,0.10344827586206896,0.5492610837438424,0.21804511278195488,0.06519471403243608
银行ETF,0.10344827586206896,0.5812807881773399,0.20863309352517986,0.010223365261746742
证券ETF,0.034482758620689655,0.0,0.14427860696517414,0.2570222072712654
医药ETF,0.034482758620689655,0.0,0.14427860696517414,0.2570222072712654
红利ETF,0.06896551724137931,0.19211822660098524,0.18012422360248448,0.004875838827081613
黄金ETF,0.034482758620689655,0.0,0.12133891213389121,0.0004120720627708285
能源化工ETF,0.034482758620689655,0.0,0.18012422360248448,0.025356051475964606
豆粕ETF,0.034482758620689655,0.0,0.1518324607329843,0.01970608263223081
十年国债期货,0.06896551724137931,0.06896551724137931,0.13615023474178403,0.0010524570613565738
五年国债期货,0.034482758620689655,0.0,0.12033195020746888,0.00041048090137125044
沪深300股指期货,0.06896551724137931,0.4433497536945813,0.19727891156462585,0.1684425080409167
中证500股指期货,0.034482758620689655,0.0,0.1277533039647577,0.11777421572022048
上证50股指期货,0.10344827586206896,0.5517241379310345,0.2116788321167883,0.11057253925604128
