,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
工商银行,1.0,0.583221171948505,0.23863876264680817,0.17074266427134974,-0.025030193813356742,-0.029789072875663396,0.3479952212017379,-0.1389448856390069,-0.0011542827841170447,-0.020170655564399623,-0.003386658194952896,0.019888826971843195,0.0031194544281460306,0.008151124234717979,0.014261968734309618,-0.15865751876485018,-0.15928493240094047,0.1962541033620833,0.4114216514366132,-0.03501699690829969,-0.12632896353305587,0.4296244831819683,0.018448369727030692,-0.037851913314245,-0.11491696362534551,0.0013156292778245394,-0.010034421516480724,0.010640431274539234,-0.15498674075198648,0.1609782494193224
招商银行,0.583221171948505,1.0,0.39977251934437025,0.3446045521801214,0.14492995382921978,0.1755546548477572,0.38534528897445824,0.06644354756370663,-0.002299857506081322,-0.03841276918957278,-0.056060090132096056,-0.03242889073751717,-0.031899779259418594,-0.03384567185458199,0.23201289547485557,0.030016567350476742,0.038097993856611764,0.3770567998951087,0.3831485918252265,0.16425620372555705,0.01180730284052818,0.44537790356132045,0.0757348642001251,0.1417828187923036,-0.05785776512590506,-0.06756486278101112,-0.05535471638691561,0.2199145639918144,0.04465739021258507,0.353634808047339
中国平安,0.23863876264680817,0.39977251934437025,1.0,0.5016528588064787,0.37607823906319304,0.3373311376638511,0.2052226957296344,0.2067948264681888,-0.0014508434448959884,-0.04340414715815244,-0.08812692432438031,-0.045656581872162774,-0.0309838394279871,-0.06994060189493546,0.5338519591444324,0.39523629434732865,0.3814511689248304,0.6033763681617097,0.22174958833724664,0.6033874621551998,0.3522372882037431,0.4116290733141736,0.06342817951781494,0.12520768293842438,-0.056364205458353675,-0.08078651587411631,-0.05009138806132979,0.5220527701793395,0.3679802539685281,0.6126721888944592
贵州茅台,0.17074266427134974,0.3446045521801214,0.5016528588064787,1.0,0.364533311393213,0.4519823921708292,0.22771306379011286,0.10397801278924257,-0.004037129465926446,-0.049408894776743276,-0.09642903036072711,-0.07247459197844802,-0.0572829656003062,-0.08315830657704569,0.45508654302408147,0.3094448883706155,0.3058522282947635,0.5459122639361877,0.17656747133777756,0.3961671381084694,0.3261340891150484,0.3536168055606054,-0.01567309354985945,0.20607527171086962,0.043633700898515614,-0.11993240571061976,-0.07196610128249312,0.46825308001350424,0.2978985451221499,0.5595382108318052
宁德时代,-0.025030193813356742,0.14492995382921978,0.37607823906319304,0.364533311393213,1.0,0.5741355086128381,0.15305669816100287,0.4554608042845599,-0.0019778895202799164,-0.028753274556368412,-0.08256226395879833,-0.055128042986564645,-0.01459287244147797,-0.054903809605667264,0.6073285742551108,0.531423066822233,0.6762083477532596,0.5060602811022012,0.06997306799877649,0.4563084630870566,0.550834411226108,0.16670939065183393,0.12336392002817388,0.26549501972156425,0.1033059483231445,-0.07159987323311176,-0.03535986820403863,0.5977559132377834,0.49993524017741214,0.5222137819678326
比亚迪,-0.029789072875663396,0.1755546548477572,0.3373311376638511,0.4519823921708292,0.5741355086128381,1.0,0.0775098151934959,0.3057085476659247,-0.0010597238818881541,-0.048960994732056465,-0.09282006912547598,-0.058943381125384775,-0.03284682113627386,-0.060563213410303234,0.5360169810332304,0.514157518189273,0.5461364154892133,0.4790467319384568,0.046837826622210546,0.4751051444840052,0.4455715343390141,0.13581386404199702,0.07193902494861192,0.2520056102228442,0.058725095264948776,-0.0800942958256042,-0.04525514771164608,0.5531243770847212,0.4946060920993173,0.5095937256584376
中国石油,0.3479952212017379,0.38534528897445824,0.2052226957296344,0.22771306379011286,0.15305669816100287,0.0775098151934959,1.0,0.2093605084974847,-0.001075142423667284,-0.012056706492010445,-0.037383385756379166,-0.030395589252797544,-0.010535560823649643,0.015452164575099176,0.19521834366682606,0.033223666091394606,0.04671743116902202,0.309873231434047,0.2421341745266434,0.07206677724182504,0.11765809162826565,0.48627690424199727,0.07532376369487519,0.2933391322080299,0.010692950591017606,-0.035440144515999986,-0.027471240045458988,0.18790536963007806,0.016853079036896815,0.28557384747443176
紫金矿业,-0.1389448856390069,0.06644354756370663,0.2067948264681888,0.10397801278924257,0.4554608042845599,0.3057085476659247,0.2093605084974847,1.0,0.001708642290442019,-0.02776400676620283,-0.06938526633540407,-0.035316508276757384,0.00233279334063257,-0.022343345721749355,0.4940184877501613,0.47011571594373586,0.46640574827004855,0.4238484179567037,0.031856161942730075,0.3129191618237516,0.3905559199510304,0.1590787333569079,0.49405130815242204,0.24276860715263507,0.0944059341733717,-0.018861624196752264,-0.007481695663098355,0.5001282260373878,0.4542974197999901,0.43776077975858185
企业债指数,-0.0011542827841170447,-0.002299857506081322,-0.0014508434448959884,-0.004037129465926446,-0.0019778895202799164,-0.0010597238818881541,-0.001075142423667284,0.001708642290442019,1.0,-1.8120607727677756e-06,0.0007276778384694879,0.0010220489352697742,0.00027243986025573126,0.0001974725962963679,0.0001184645668207411,0.0025136514376351677,2.042193910004277e-05,-0.00011105264188617341,-0.004355562302853176,0.0010931624401999134,0.00046995301978346496,-0.0031371518724662875,0.003974601152123814,-0.0011780282698472856,0.004992444592961099,0.0008428029404701713,1.1820692650497778e-05,0.0002948492064484844,0.0010507604162830735,-0.00026091733870661164
国债ETF,-0.020170655564399623,-0.03841276918957278,-0.04340414715815244,-0.049408894776743276,-0.028753274556368412,-0.048960994732056465,-0.012056706492010445,-0.02776400676620283,-1.8120607727677756e-06,1.0,0.1015880336003001,0.06840824729595603,0.05142338853648356,0.06910494764578946,-0.05087375925543425,-0.05114815051721987,-0.053610903759326714,-0.05085954389748002,-0.008772733972157564,-0.042732285213085315,-0.032560084749830874,-0.03356657790511722,-0.00019875515218989472,-0.0666795836963121,0.013051420275010984,0.08462743193033635,0.06278998623631114,-0.05822567954923376,-0.05187419506317358,-0.05499153196015086
十年国债ETF,-0.003386658194952896,-0.056060090132096056,-0.08812692432438031,-0.09642903036072711,-0.08256226395879833,-0.09282006912547598,-0.037383385756379166,-0.06938526633540407,0.0007276778384694879,0.1015880336003001,1.0,0.10283429823634699,0.06831906555360685,0.1045872791715773,-0.1126490542086573,-0.10994351345634737,-0.12387348336912732,-0.10858134208953679,-0.011354868511069309,-0.09002028787452221,-0.0726473334757335,-0.06361514295525049,-0.006567409521704622,-0.1253642942667253,0.004990347402430668,0.12745510845404728,0.08522038637296701,-0.1207500961812941,-0.10287373340416364,-0.11352609068752158
短债ETF,0.019888826971843195,-0.03242889073751717,-0.045656581872162774,-0.07247459197844802,-0.055128042986564645,-0.058943381125384775,-0.030395589252797544,-0.035316508276757384,0.0010220489352697742,0.06840824729595603,0.10283429823634699,1.0,0.10233175403783967,0.08410557293718025,-0.08159055288184595,-0.09406490970924225,-0.09870091255775472,-0.07194449023098781,0.00034522026392836547,-0.06420741243082742,-0.07818935658240507,-0.03354879892068413,0.034371575138466344,-0.10272492387968893,0.018223848874684923,0.11393055929815041,0.07881351714395647,-0.08736030786380898,-0.0865765871560851,-0.07488688696672964
