,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),-27.77,11.68,-2.3783,-6.24,-1.8891,-4.4474,-4.1707,25.2768,48.0
均值方差(MV),-2.95,18.15,-0.1626,-6.87,-3.0334,-0.4293,-3.9288,21.8781,48.0
风险平价(RP),-2.3,2.87,-0.8026,-0.88,-0.4684,-2.6267,-2.2886,9.4181,48.0
层次化RP(HRP),2.68,1.53,1.749,-0.6,-0.2142,4.4617,-0.8638,2.632,48.0
BL无观点,-1.26,2.3,-0.5461,-0.8,-0.3767,-1.5725,-1.5121,3.864,48.0
BL动量观点,-7.57,11.69,-0.6477,-3.59,-1.8764,-2.1102,-1.2701,6.976,48.0
反中心性(规则1),-29.31,11.62,-2.5229,-6.36,-1.8861,-4.6101,-4.2841,26.186,48.0
直接中心性(规则2),-16.66,13.04,-1.2769,-6.55,-2.075,-2.5425,-2.8448,14.4923,48.0
PageRank(规则3),-32.22,12.49,-2.5792,-7.32,-2.0032,-4.4025,-3.9972,23.8152,48.0
网络正则化RP,-1.55,3.18,-0.4878,-0.95,-0.4954,-1.6342,-1.9316,10.0165,48.0
★网络增强BL,6.44,3.08,2.0899,-0.93,-0.3202,6.8903,1.2828,5.0475,48.0
★去噪风险平价,-1.17,2.49,-0.4709,-0.86,-0.405,-1.3632,-1.6911,5.2686,48.0
★社区BL-RP,-3.83,4.51,-0.8504,-1.73,-0.7063,-2.2191,-3.138,16.7295,48.0
◆最小方差,1.29,2.25,0.5741,-0.71,-0.3353,1.8262,-0.6299,1.8277,48.0
◆最大分散化,-7.87,5.89,-1.3363,-1.98,-1.0255,-3.9843,-3.019,15.7516,48.0
◆拉普拉斯MV,-2.17,18.28,-0.1188,-6.95,-3.0792,-0.3122,-4.0441,22.8049,48.0
◆图过滤RP,-5.22,3.62,-1.4432,-1.3,-0.5899,-4.0225,-3.0694,15.5823,48.0
◆图平滑动量BL,-4.77,11.61,-0.4109,-3.52,-1.8829,-1.3537,-1.3092,7.3079,48.0
◆网络约束MinVar,1.34,2.6,0.5145,-0.68,-0.4051,1.957,-0.888,3.3518,48.0
◆社区MinVar,0.22,2.68,0.0803,-0.71,-0.4093,0.3022,-1.401,5.8097,48.0
