,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),53.36,13.11,4.0686,-5.98,-1.6193,8.9161,0.1025,8.4189,157.0
均值方差(MV),63.58,14.38,4.4215,-3.82,-1.8458,16.6269,-0.2794,2.5979,157.0
风险平价(RP),12.41,3.15,3.9398,-0.94,-0.4091,13.1866,-0.2017,5.5802,157.0
层次化RP(HRP),2.22,1.58,1.4037,-1.06,-0.2403,2.103,-0.4757,1.6145,157.0
BL无观点,9.14,2.49,3.6699,-0.7,-0.3361,13.0505,-0.1527,2.99,157.0
BL动量观点,78.48,21.44,3.6598,-9.02,-2.5754,8.7043,0.4212,8.5994,157.0
反中心性(规则1),51.96,12.9,4.0272,-6.1,-1.5881,8.5154,0.1805,8.3661,157.0
直接中心性(规则2),60.84,14.76,4.1226,-5.5,-1.8084,11.0604,0.0279,7.8358,157.0
PageRank(规则3),56.06,14.57,3.8467,-6.66,-1.7691,8.4202,0.2218,8.456,157.0
网络正则化RP,9.16,3.23,2.8346,-1.24,-0.435,7.3635,0.0088,3.3887,157.0
★网络增强BL,6.28,2.78,2.2576,-1.52,-0.4167,4.1328,-0.4341,1.47,157.0
★去噪风险平价,10.59,2.78,3.8154,-0.79,-0.3697,13.4519,-0.2405,4.3246,157.0
★社区BL-RP,18.86,4.28,4.4085,-1.43,-0.5287,13.2094,-0.0213,4.0246,157.0
◆最小方差,7.05,2.23,3.1546,-1.13,-0.3008,6.2188,-0.202,0.736,157.0
◆最大分散化,24.89,6.49,3.8344,-2.93,-0.8484,8.5004,0.1648,7.8213,157.0
◆拉普拉斯MV,63.63,14.34,4.4368,-3.87,-1.8322,16.4272,-0.2958,2.7195,157.0
◆图过滤RP,16.04,3.94,4.0701,-1.39,-0.5049,11.5207,-0.1327,6.8496,157.0
◆图平滑动量BL,76.56,21.41,3.5761,-9.46,-2.5776,8.0893,0.3704,9.0621,157.0
◆网络约束MinVar,8.32,2.55,3.2654,-1.07,-0.3432,7.7703,-0.1715,1.1582,157.0
◆社区MinVar,8.9,2.62,3.4026,-0.95,-0.3354,9.3668,0.0922,1.8424,157.0
