,ann_return,ann_vol,sharpe,max_drawdown,cvar_95,calmar,skew,kurtosis,n_days
等权(1/N),0.96,9.63,0.0994,-7.93,-1.2906,0.1207,0.4677,2.8718,269.0
均值方差(MV),4.31,13.58,0.3175,-12.96,-1.9031,0.3327,-0.1294,0.7099,269.0
风险平价(RP),4.71,2.41,1.9512,-1.08,-0.2773,4.3518,0.4692,1.9922,269.0
层次化RP(HRP),5.02,1.35,3.722,-0.89,-0.1723,5.6166,0.2182,2.9903,269.0
BL无观点,4.84,2.04,2.3694,-0.94,-0.2407,5.1323,0.3284,1.1427,269.0
BL动量观点,-5.74,13.5,-0.4249,-14.04,-2.209,-0.4088,-0.4875,2.5898,269.0
反中心性(规则1),1.1,9.47,0.1166,-7.58,-1.2749,0.1456,0.441,2.4912,269.0
直接中心性(规则2),0.12,11.19,0.011,-11.22,-1.4647,0.011,0.4571,3.999,269.0
PageRank(规则3),1.22,10.6,0.1149,-8.9,-1.4054,0.1368,0.5703,3.5041,269.0
网络正则化RP,5.36,2.65,2.019,-1.24,-0.3327,4.319,0.251,0.8193,269.0
★网络增强BL,4.95,2.53,1.9609,-1.23,-0.3227,4.021,-0.0399,1.3925,269.0
★去噪风险平价,5.05,2.16,2.3373,-0.89,-0.2509,5.6994,0.3685,1.2627,269.0
★社区BL-RP,4.15,3.65,1.139,-2.15,-0.4434,1.9363,0.5395,2.4637,269.0
◆最小方差,5.58,1.95,2.8701,-0.88,-0.2273,6.3275,0.142,0.6632,269.0
◆最大分散化,4.04,4.76,0.8471,-3.24,-0.5981,1.2442,0.4749,2.4129,269.0
◆拉普拉斯MV,2.03,13.59,0.1495,-13.32,-1.9572,0.1525,-0.1825,0.8323,269.0
◆图过滤RP,4.24,2.97,1.4244,-1.44,-0.3497,2.9318,0.5065,2.3123,269.0
◆图平滑动量BL,-5.1,13.48,-0.3784,-16.1,-2.2643,-0.3168,-0.5913,2.7912,269.0
◆网络约束MinVar,5.76,2.17,2.6524,-1.01,-0.2535,5.724,0.1454,0.553,269.0
◆社区MinVar,4.96,2.39,2.0731,-1.44,-0.2825,3.4513,0.3842,1.7804,269.0
